# x_m, y_m, v_mps
5.151,4.245,5.383
5.075,4.251,5.382
4.998,4.254,5.382
4.919,4.253,5.383
4.839,4.249,5.390
4.758,4.241,5.401
4.677,4.231,5.418
4.595,4.217,5.439
4.513,4.201,5.466
4.431,4.182,5.497
4.348,4.160,5.534
4.265,4.136,5.575
4.182,4.110,5.622
4.099,4.081,5.675
4.015,4.050,5.732
3.932,4.016,5.796
3.848,3.981,5.865
3.764,3.944,5.939
3.681,3.906,6.020
3.597,3.866,6.100
3.512,3.824,6.180
3.428,3.782,6.260
3.343,3.738,6.339
3.257,3.693,6.418
3.171,3.647,6.496
3.085,3.600,6.574
2.998,3.553,6.652
2.910,3.505,6.730
2.822,3.457,6.807
2.732,3.409,6.884
2.642,3.360,6.961
2.551,3.312,7.038
2.458,3.264,7.114
2.364,3.217,7.190
2.269,3.170,7.256
2.173,3.125,7.307
2.075,3.080,7.347
1.976,3.036,7.374
1.875,2.994,7.391
1.773,2.954,7.399
1.668,2.916,7.398
1.563,2.879,7.396
1.455,2.845,7.394
1.346,2.814,7.392
1.235,2.786,7.391
1.122,2.761,7.389
1.008,2.739,7.387
0.892,2.721,7.385
0.775,2.707,7.383
0.656,2.697,7.381
0.537,2.692,7.379
0.417,2.692,7.377
0.297,2.697,7.375
0.179,2.706,7.373
0.062,2.719,7.371
-0.054,2.736,7.369
-0.168,2.757,7.367
-0.280,2.782,7.365
-0.391,2.809,7.364
-0.500,2.839,7.362
-0.607,2.871,7.360
-0.713,2.906,7.360
-0.817,2.943,7.368
-0.919,2.982,7.383
-1.020,3.022,7.405
-1.119,3.063,7.435
-1.217,3.106,7.437
-1.314,3.149,7.387
-1.409,3.193,7.323
-1.503,3.237,7.244
-1.596,3.282,7.150
-1.687,3.327,7.039
-1.778,3.372,6.913
-1.868,3.417,6.770
-1.957,3.461,6.634
-2.045,3.504,6.506
-2.132,3.547,6.385
-2.219,3.589,6.271
-2.306,3.630,6.164
-2.392,3.669,6.064
-2.477,3.707,5.970
-2.562,3.744,5.882
-2.647,3.779,5.801
-2.731,3.812,5.727
-2.815,3.843,5.658
-2.899,3.872,5.596
-2.983,3.898,5.540
-3.066,3.923,5.489
-3.149,3.944,5.445
-3.231,3.963,5.406
-3.314,3.980,5.372
-3.395,3.993,5.344
-3.476,4.003,5.321
-3.556,4.011,5.303
-3.636,4.015,5.291
-3.714,4.015,5.283
-3.791,4.012,5.281
-3.867,4.006,5.280
-3.941,3.996,5.279
-4.012,3.983,5.278
-4.082,3.966,5.278
-4.149,3.946,5.277
-4.213,3.922,5.276
-4.275,3.894,5.275
-4.336,3.862,5.274
-4.396,3.825,5.273
-4.454,3.785,5.273
-4.511,3.741,5.272
-4.566,3.693,5.271
-4.619,3.642,5.270
-4.670,3.587,5.269
-4.719,3.530,5.268
-4.765,3.469,5.268
-4.809,3.406,5.267
-4.850,3.341,5.266
-4.888,3.273,5.265
-4.924,3.203,5.264
-4.957,3.131,5.263
-4.987,3.058,5.262
-5.015,2.982,5.261
-5.039,2.906,5.260
-5.061,2.828,5.259
-5.080,2.749,5.258
-5.096,2.669,5.257
-5.109,2.588,5.257
-5.119,2.506,5.256
-5.127,2.424,5.255
-5.132,2.341,5.254
-5.134,2.257,5.253
-5.133,2.173,5.252
-5.130,2.089,5.254
-5.124,2.005,5.258
-5.115,1.921,5.265
-5.104,1.838,5.273
-5.090,1.755,5.283
-5.074,1.672,5.293
-5.055,1.590,5.304
-5.034,1.509,5.315
-5.010,1.428,5.327
-4.983,1.348,5.339
-4.954,1.269,5.351
-4.923,1.192,5.363
-4.889,1.115,5.376
-4.853,1.040,5.388
-4.814,0.966,5.401
-4.773,0.893,5.414
-4.730,0.822,5.427
-4.684,0.752,5.440
-4.637,0.685,5.454
-4.587,0.619,5.468
-4.535,0.555,5.482
-4.480,0.493,5.498
-4.424,0.433,5.513
-4.366,0.375,5.529
-4.306,0.320,5.546
-4.245,0.267,5.564
-4.181,0.216,5.582
-4.116,0.169,5.601
-4.049,0.123,5.621
-3.980,0.080,5.642
-3.909,0.039,5.664
-3.836,0.000,5.688
-3.761,-0.037,5.713
-3.684,-0.071,5.739
-3.605,-0.103,5.768
-3.525,-0.134,5.797
-3.444,-0.162,5.828
-3.362,-0.188,5.861
-3.278,-0.213,5.896
-3.193,-0.235,5.933
-3.107,-0.255,5.971
-3.020,-0.274,6.011
-2.932,-0.291,6.053
-2.843,-0.306,6.097
-2.754,-0.320,6.143
-2.663,-0.332,6.191
-2.572,-0.343,6.241
-2.480,-0.352,6.292
-2.388,-0.360,6.346
-2.295,-0.367,6.402
-2.201,-0.372,6.459
-2.107,-0.377,6.519
-2.012,-0.380,6.580
-1.917,-0.383,6.644
-1.821,-0.385,6.709
-1.725,-0.386,6.776
-1.628,-0.386,6.844
-1.530,-0.387,6.914
-1.432,-0.386,6.986
-1.334,-0.385,7.058
-1.236,-0.384,7.130
-1.137,-0.383,7.202
-1.038,-0.382,7.272
-0.940,-0.380,7.342
-0.841,-0.378,7.412
-0.742,-0.376,7.481
-0.643,-0.373,7.549
-0.544,-0.371,7.616
-0.445,-0.368,7.683
-0.345,-0.366,7.750
-0.246,-0.363,7.816
-0.147,-0.360,7.881
-0.047,-0.357,7.946
0.052,-0.354,8.000
0.152,-0.351,8.000
0.252,-0.347,8.000
0.352,-0.344,8.000
0.451,-0.341,8.000
0.551,-0.338,8.000
0.651,-0.335,8.000
0.751,-0.332,8.000
0.851,-0.329,8.000
0.951,-0.326,8.000
1.052,-0.323,8.000
1.152,-0.320,8.000
1.252,-0.318,8.000
1.352,-0.315,8.000
1.452,-0.312,8.000
1.552,-0.310,8.000
1.652,-0.307,8.000
1.752,-0.304,7.985
1.852,-0.302,7.921
1.952,-0.300,7.855
2.052,-0.297,7.786
2.152,-0.295,7.714
2.253,-0.293,7.640
2.353,-0.290,7.563
