# x_m, y_m, v_mps
5.252,5.240,6.483
5.130,5.250,6.481
5.008,5.254,6.479
4.887,5.252,6.477
4.767,5.246,6.476
4.649,5.235,6.474
4.532,5.220,6.472
4.417,5.201,6.471
4.303,5.179,6.469
4.191,5.153,6.467
4.081,5.124,6.466
3.972,5.092,6.466
3.865,5.058,6.476
3.759,5.021,6.492
3.656,4.983,6.516
3.554,4.942,6.548
3.453,4.900,6.585
3.354,4.856,6.630
3.256,4.811,6.681
3.160,4.766,6.738
3.065,4.719,6.803
2.972,4.672,6.874
2.879,4.624,6.952
2.788,4.576,7.029
2.698,4.527,7.104
2.608,4.479,7.178
2.520,4.431,7.250
2.432,4.383,7.321
2.345,4.336,7.391
2.259,4.289,7.459
2.173,4.243,7.466
2.088,4.199,7.408
2.003,4.155,7.361
1.919,4.112,7.327
1.834,4.071,7.306
1.750,4.031,7.297
1.667,3.992,7.296
1.583,3.956,7.294
1.499,3.921,7.293
1.416,3.888,7.292
1.333,3.858,7.290
1.250,3.829,7.289
1.167,3.803,7.287
1.084,3.779,7.286
1.002,3.758,7.285
0.919,3.740,7.283
0.837,3.724,7.282
0.756,3.712,7.281
0.675,3.702,7.279
0.595,3.695,7.278
0.515,3.692,7.277
0.435,3.692,7.275
0.355,3.695,7.274
0.274,3.701,7.273
0.193,3.710,7.271
0.111,3.723,7.270
0.029,3.738,7.269
-0.054,3.756,7.267
-0.138,3.776,7.266
-0.221,3.799,7.264
-0.305,3.825,7.263
-0.389,3.853,7.262
-0.473,3.882,7.260
-0.558,3.914,7.259
-0.643,3.948,7.257
-0.728,3.983,7.259
-0.813,4.020,7.274
-0.899,4.059,7.301
-0.985,4.098,7.342
-1.071,4.139,7.396
-1.158,4.181,7.463
-1.246,4.224,7.509
-1.334,4.268,7.408
-1.423,4.312,7.285
-1.513,4.357,7.171
-1.604,4.402,7.067
-1.696,4.447,6.971
-1.789,4.491,6.884
-1.883,4.536,6.805
-1.979,4.580,6.734
-2.076,4.623,6.670
-2.174,4.665,6.614
-2.274,4.707,6.565
-2.376,4.746,6.523
-2.479,4.784,6.489
-2.584,4.821,6.462
-2.690,4.855,6.443
-2.799,4.886,6.433
-2.909,4.915,6.431
-3.021,4.941,6.430
-3.135,4.964,6.428
-3.250,4.982,6.426
-3.367,4.997,6.424
-3.486,5.008,6.423
-3.606,5.014,6.421
-3.728,5.015,6.419
-3.850,5.011,6.417
-3.973,5.000,6.416
-4.097,4.984,6.414
-4.222,4.961,6.412
-4.346,4.931,6.410
-4.470,4.893,6.408
-4.593,4.847,6.406
-4.713,4.793,6.405
-4.829,4.732,6.403
-4.940,4.664,6.401
-5.046,4.591,6.399
-5.147,4.513,6.397
-5.242,4.430,6.395
-5.333,4.342,6.394
-5.418,4.251,6.392
-5.498,4.156,6.390
-5.573,4.058,6.388
-5.643,3.957,6.387
-5.708,3.853,6.385
-5.769,3.747,6.383
-5.824,3.639,6.381
-5.874,3.530,6.380
-5.920,3.419,6.378
-5.961,3.306,6.376
-5.997,3.193,6.375
-6.029,3.078,6.373
-6.057,2.963,6.371
-6.080,2.847,6.370
-6.099,2.731,6.368
-6.113,2.614,6.366
-6.124,2.498,6.365
-6.131,2.382,6.363
-6.134,2.266,6.361
-6.133,2.150,6.360
-6.128,2.034,6.358
-6.120,1.919,6.356
-6.108,1.804,6.355
-6.093,1.690,6.353
-6.074,1.576,6.352
-6.052,1.463,6.350
-6.026,1.351,6.348
-5.997,1.239,6.347
-5.964,1.128,6.345
-5.927,1.018,6.343
-5.887,0.909,6.342
-5.844,0.802,6.340
-5.797,0.696,6.338
-5.747,0.592,6.337
-5.693,0.489,6.335
-5.636,0.387,6.333
-5.575,0.288,6.332
-5.511,0.190,6.330
-5.444,0.095,6.329
-5.373,0.002,6.327
-5.299,-0.089,6.325
-5.222,-0.178,6.324
-5.142,-0.264,6.322
-5.058,-0.347,6.320
-4.971,-0.427,6.319
-4.882,-0.504,6.317
-4.789,-0.578,6.315
-4.693,-0.648,6.314
-4.595,-0.715,6.316
-4.494,-0.778,6.320
-4.393,-0.836,6.326
-4.289,-0.891,6.334
-4.185,-0.942,6.345
-4.080,-0.989,6.357
-3.974,-1.033,6.372
-3.867,-1.074,6.389
-3.760,-1.111,6.408
-3.652,-1.145,6.430
-3.544,-1.177,6.453
-3.436,-1.205,6.479
-3.327,-1.231,6.507
-3.219,-1.254,6.538
-3.111,-1.275,6.570
-3.003,-1.293,6.605
-2.895,-1.310,6.642
-2.787,-1.324,6.681
-2.680,-1.337,6.722
-2.573,-1.348,6.765
-2.467,-1.357,6.811
-2.361,-1.364,6.858
-2.255,-1.371,6.908
-2.150,-1.376,6.960
-2.045,-1.380,7.013
-1.941,-1.383,7.069
-1.837,-1.385,7.126
-1.733,-1.386,7.185
-1.631,-1.386,7.245
-1.528,-1.387,7.307
-1.427,-1.386,7.370
-1.325,-1.385,7.434
-1.224,-1.384,7.500
-1.123,-1.383,7.567
-1.022,-1.381,7.632
-0.921,-1.380,7.696
-0.820,-1.378,7.757
-0.719,-1.375,7.818
-0.619,-1.373,7.876
-0.518,-1.371,7.934
-0.418,-1.368,7.990
-0.317,-1.365,8.046
-0.217,-1.362,8.103
-0.117,-1.359,8.163
-0.017,-1.356,8.226
0.083,-1.353,8.288
0.183,-1.350,8.350
0.283,-1.347,8.411
0.383,-1.344,8.472
0.483,-1.341,8.532
0.582,-1.338,8.592
0.682,-1.335,8.652
0.781,-1.332,8.711
0.881,-1.329,8.769
0.981,-1.326,8.827
1.080,-1.323,8.763
1.180,-1.320,8.691
1.279,-1.317,8.618
1.379,-1.314,8.545
1.478,-1.312,8.473
1.578,-1.309,8.401
1.677,-1.307,8.330
1.777,-1.304,8.262
1.877,-1.302,8.195
1.976,-1.299,8.130
2.076,-1.297,8.069
2.175,-1.295,8.010
2.275,-1.292,7.952
2.374,-1.290,7.893
2.474,-1.288,7.833
2.573,-1.286,7.772
2.673,-1.284,7.710
2.774,-1.282,7.647
2.874,-1.279,7.581
2.976,-1.277,7.515
3.077,-1.274,7.447
3.180,-1.271,7.382
3.282,-1.267,7.318
3.385,-1.262,7.256
3.489,-1.257,7.196
3.593,-1.251,7.138
3.697,-1.244,7.082
3.802,-1.236,7.028
3.907,-1.226,6.977
4.013,-1.215,6.929
4.118,-1.203,6.884
4.225,-1.190,6.841
4.331,-1.174,6.802
4.438,-1.157,6.766
4.545,-1.138,6.733
4.652,-1.117,6.703
4.759,-1.094,6.677
4.866,-1.068,6.655
4.973,-1.041,6.636
5.080,-1.010,6.621
5.187,-0.977,6.611
5.294,-0.941,6.605
5.400,-0.903,6.603
5.506,-0.861,6.601
5.611,-0.816,6.600
5.715,-0.767,6.598
5.818,-0.715,6.596
5.921,-0.659,6.594
6.021,-0.600,6.593
6.121,-0.536,6.591
6.218,-0.469,6.589
6.313,-0.398,6.587
6.406,-0.323,6.586
6.496,-0.244,6.584
6.583,-0.161,6.582
6.666,-0.075,6.580
6.746,0.013,6.579
6.822,0.105,6.577
6.895,0.200,6.575
6.963,0.297,6.573
7.028,0.396,6.572
7.089,0.497,6.570
7.146,0.600,6.568
7.199,0.704,6.567
7.248,0.810,6.565
7.294,0.918,6.563
7.336,1.026,6.561
7.374,1.136,6.560
7.409,1.246,6.558
7.440,1.358,6.556
7.468,1.469,6.555
7.492,1.582,6.553
7.512,1.695,6.551
7.529,1.809,6.550
7.543,1.923,6.548
7.553,2.037,6.546
7.560,2.152,6.545
7.564,2.268,6.543
7.563,2.384,6.541
7.559,2.500,6.539
7.551,2.616,6.538
7.539,2.732,6.536
7.523,2.847,6.534
7.504,2.963,6.533
7.480,3.078,6.531
7.452,3.192,6.529
7.420,3.305,6.528
7.384,3.418,6.526
7.343,3.529,6.524
7.299,3.639,6.522
7.250,3.747,6.521
7.196,3.854,6.519
7.139,3.959,6.517
7.077,4.062,6.515
7.010,4.163,6.514
6.940,4.261,6.512
6.864,4.356,6.510
6.785,4.449,6.508
6.700,4.538,6.506
6.612,4.624,6.505
6.518,4.705,6.503
6.421,4.783,6.501
6.319,4.856,6.499
6.212,4.924,6.497
6.102,4.986,6.496
5.987,5.043,6.494
5.869,5.094,6.492
5.747,5.137,6.490
5.624,5.173,6.488
5.500,5.202,6.486
5.376,5.225,6.484
