# 9ddb6a2a-973a-4f2e-94ca-5e8b55eedb31
# 1f33121d91b7f0e49544594bef0353728ab6343b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1750841; 4.5213674; 1.3914911; 0.4617978; 5.0399576; 1.2652878
0.0999812; 5.0763062; 4.5369620; 1.4365673; 0.4396743; 5.0649958; 1.6519315
0.1999624; 4.9769935; 4.5481941; 1.4794259; 0.4180169; 5.0975001; 1.9967678
0.2999436; 4.8772566; 4.5552687; 1.5201951; 0.3974502; 5.1365149; 2.2931976
0.3999249; 4.7773430; 4.5583743; 1.5589148; 0.3772957; 5.1809593; 2.5662410
0.4999061; 4.6773676; 4.5577089; 1.5956648; 0.3578573; 5.2302477; 2.8133804
0.5998873; 4.5774842; 4.5534677; 1.6304829; 0.3387388; 5.2837544; 3.0496326
0.6998685; 4.4778047; 4.5458464; 1.6634169; 0.3201314; 5.3411490; 3.2731972
0.7998497; 4.3784084; 4.5350378; 1.6945048; 0.3017756; 5.4020727; 3.4941569
0.8998309; 4.2793999; 4.5212376; 1.7237702; 0.2837334; 5.4663598; 3.7130711
0.9998121; 4.1808001; 4.5046307; 1.7512466; 0.2658899; 5.5338562; 3.9268332
1.0997934; 4.0827021; 4.4854137; 1.7769455; 0.2482844; 5.6043540; 4.1367936
1.1997746; 3.9850813; 4.4637610; 1.8008985; 0.2308348; 5.6776744; 4.3565563
1.2997558; 3.8880177; 4.4398688; 1.8231095; 0.2135649; 5.7538799; 4.5869394
1.3997370; 3.7914521; 4.4139004; 1.8436068; 0.1964184; 5.8330395; 4.8314246
1.4997182; 3.6954497; 4.3860507; 1.8623903; 0.1794064; 5.9152729; 5.0914009
1.5996994; 3.5999260; 4.3564722; 1.8794841; 0.1625034; 6.0007118; 5.2196716
1.6996806; 3.5049311; 4.3253573; 1.8948909; 0.1457618; 6.0870584; 5.2173432
1.7996619; 3.4103635; 4.2928488; 1.9086334; 0.1291169; 6.1721595; 5.2150159
1.8996431; 3.3162584; 4.2591345; 1.9207159; 0.1126351; 6.2560659; 5.2126896
1.9996243; 3.2225041; 4.2243497; 1.9311582; 0.0962403; 6.3388250; 5.2103643
2.0996055; 3.1291218; 4.1886769; 1.9399668; 0.0800042; 6.4204812; 5.2080401
2.1995867; 3.0359958; 4.1522456; 1.9471578; 0.0638390; 6.5010762; 5.2057169
2.2995679; 2.9431339; 4.1152323; 1.9527371; 0.0477917; 6.5806489; 5.2033947
2.3995491; 2.8504219; 4.0777645; 1.9567158; 0.0318015; 6.6592359; 5.2010736
2.4995304; 2.7578546; 4.0400121; 1.9590999; 0.0159016; 6.7368718; 5.1987535
2.5995116; 2.6653247; 4.0021033; 1.9598965; 0.0000468; 6.8135892; 5.1964344
2.6994928; 2.5728147; 3.9642020; 1.9591123; -0.0157313; 6.8894186; 5.1941164
2.7994740; 2.4802283; 3.9264394; 1.9567514; -0.0314802; 6.9643892; 5.1917994
2.8994552; 2.3875372; 3.8889739; 1.9528195; -0.0471743; 7.0385284; 2.2273525
2.9994364; 2.2946601; 3.8519418; 1.9473183; -0.0628564; 7.0700968; -5.8756784
3.0994176; 2.2015593; 3.8154970; 1.9402517; -0.0785065; 6.9865123; -5.2815093
3.1993989; 2.1081716; 3.7797826; 1.9316193; -0.0941635; 6.9105174; -4.7089006
3.2993801; 2.0144529; 3.7449495; 1.9214224; -0.1098151; 6.8420499; -4.1476388
3.3993613; 1.9203596; 3.7111482; 1.9096591; -0.1254948; 6.7811707; -3.5894374
3.4993425; 1.8258454; 3.6785287; 1.8963267; -0.1412041; 6.7280400; -3.0249680
3.5993237; 1.7308874; 3.6472493; 1.8814218; -0.1569625; 6.6829367; -2.4446304
3.6993049; 1.6354418; 3.6174613; 1.8649373; -0.1727851; 6.6462628; -1.8382054
3.7992862; 1.5395068; 3.5893297; 1.8468690; -0.1886815; 6.6185525; -1.1924573
3.8992674; 1.4430474; 3.5630100; 1.8272036; -0.2046952; 6.6005144; -0.4949935
