# x_m, y_m, v_mps
5.151,4.245,4.207
5.075,4.251,4.211
4.998,4.254,4.219
4.919,4.253,4.231
4.839,4.249,4.246
4.758,4.241,4.266
4.677,4.231,4.289
4.595,4.217,4.316
4.513,4.201,4.347
4.431,4.182,4.382
4.348,4.160,4.421
4.265,4.136,4.465
4.182,4.110,4.513
4.099,4.081,4.566
4.015,4.050,4.623
3.932,4.016,4.685
3.848,3.981,4.753
3.764,3.944,4.826
3.681,3.906,4.904
3.597,3.866,4.988
3.512,3.824,5.078
3.428,3.782,5.174
3.343,3.738,5.270
3.257,3.693,5.365
3.171,3.647,5.460
3.085,3.600,5.553
2.998,3.553,5.645
2.910,3.505,5.737
2.822,3.457,5.828
2.732,3.409,5.919
2.642,3.360,6.008
2.551,3.312,6.097
2.458,3.264,6.182
2.364,3.217,6.254
2.269,3.170,6.311
2.173,3.125,6.356
2.075,3.080,6.388
1.976,3.036,6.409
1.875,2.994,6.420
1.773,2.954,6.421
1.668,2.916,6.420
1.563,2.879,6.418
1.455,2.845,6.416
1.346,2.814,6.415
1.235,2.786,6.413
1.122,2.761,6.411
1.008,2.739,6.410
0.892,2.721,6.408
0.775,2.707,6.406
0.656,2.697,6.405
0.537,2.692,6.403
0.417,2.692,6.401
0.297,2.697,6.399
0.179,2.706,6.398
0.062,2.719,6.396
-0.054,2.736,6.394
-0.168,2.757,6.393
-0.280,2.782,6.391
-0.391,2.809,6.390
-0.500,2.839,6.388
-0.607,2.871,6.386
-0.713,2.906,6.385
-0.817,2.943,6.386
-0.919,2.982,6.396
-1.020,3.022,6.394
-1.119,3.063,6.365
-1.217,3.106,6.323
-1.314,3.149,6.269
-1.409,3.193,6.201
-1.503,3.237,6.119
-1.596,3.282,6.022
-1.687,3.327,5.910
-1.778,3.372,5.782
-1.868,3.417,5.639
-1.957,3.461,5.506
-2.045,3.504,5.380
-2.132,3.547,5.261
-2.219,3.589,5.151
-2.306,3.630,5.047
-2.392,3.669,4.950
-2.477,3.707,4.859
-2.562,3.744,4.775
-2.647,3.779,4.697
-2.731,3.812,4.625
-2.815,3.843,4.558
-2.899,3.872,4.497
-2.983,3.898,4.441
-3.066,3.923,4.391
-3.149,3.944,4.345
-3.231,3.963,4.304
-3.314,3.980,4.268
-3.395,3.993,4.236
-3.476,4.003,4.208
-3.556,4.011,4.185
-3.636,4.015,4.165
-3.714,4.015,4.150
-3.791,4.012,4.138
-3.867,4.006,4.131
-3.941,3.996,4.127
-4.012,3.983,4.127
-4.082,3.966,4.126
-4.149,3.946,4.125
-4.213,3.922,4.125
-4.275,3.894,4.124
-4.336,3.862,4.123
-4.396,3.825,4.123
-4.454,3.785,4.122
-4.511,3.741,4.121
-4.566,3.693,4.121
-4.619,3.642,4.120
-4.670,3.587,4.119
-4.719,3.530,4.119
-4.765,3.469,4.118
-4.809,3.406,4.117
-4.850,3.341,4.116
-4.888,3.273,4.116
-4.924,3.203,4.115
-4.957,3.131,4.114
-4.987,3.058,4.114
-5.015,2.982,4.113
-5.039,2.906,4.112
-5.061,2.828,4.111
-5.080,2.749,4.111
-5.096,2.669,4.110
-5.109,2.588,4.109
-5.119,2.506,4.108
-5.127,2.424,4.110
-5.132,2.341,4.114
-5.134,2.257,4.121
