# x_m, y_m, v_mps
5.252,5.240,5.019
5.130,5.250,5.018
5.008,5.254,5.016
4.887,5.252,5.015
4.767,5.246,5.014
4.649,5.235,5.012
4.532,5.220,5.013
4.417,5.201,5.020
4.303,5.179,5.032
4.191,5.153,5.049
4.081,5.124,5.072
3.972,5.092,5.099
3.865,5.058,5.131
3.759,5.021,5.168
3.656,4.983,5.209
3.554,4.942,5.255
3.453,4.900,5.306
3.354,4.856,5.362
3.256,4.811,5.423
3.160,4.766,5.489
3.065,4.719,5.561
2.972,4.672,5.640
2.879,4.624,5.724
2.788,4.576,5.815
2.698,4.527,5.907
2.608,4.479,5.996
2.520,4.431,6.083
2.432,4.383,6.168
2.345,4.336,6.174
2.259,4.289,6.072
2.173,4.243,5.982
2.088,4.199,5.902
2.003,4.155,5.832
1.919,4.112,5.772
1.834,4.071,5.721
1.750,4.031,5.680
1.667,3.992,5.647
1.583,3.956,5.623
1.499,3.921,5.608
1.416,3.888,5.601
1.333,3.858,5.600
1.250,3.829,5.598
1.167,3.803,5.597
1.084,3.779,5.596
1.002,3.758,5.595
0.919,3.740,5.594
0.837,3.724,5.593
0.756,3.712,5.592
0.675,3.702,5.591
0.595,3.695,5.590
0.515,3.692,5.589
0.435,3.692,5.588
0.355,3.695,5.587
0.274,3.701,5.586
0.193,3.710,5.585
0.111,3.723,5.584
0.029,3.738,5.583
-0.054,3.756,5.582
-0.138,3.776,5.581
-0.221,3.799,5.580
-0.305,3.825,5.579
-0.389,3.853,5.580
-0.473,3.882,5.590
-0.558,3.914,5.608
-0.643,3.948,5.634
-0.728,3.983,5.670
-0.813,4.020,5.716
-0.899,4.059,5.771
-0.985,4.098,5.837
-1.071,4.139,5.912
-1.158,4.181,5.997
-1.246,4.224,6.082
-1.334,4.268,6.165
-1.423,4.312,6.068
-1.513,4.357,5.949
-1.604,4.402,5.839
-1.696,4.447,5.738
-1.789,4.491,5.645
-1.883,4.536,5.560
-1.979,4.580,5.481
-2.076,4.623,5.409
-2.174,4.665,5.343
-2.274,4.707,5.283
-2.376,4.746,5.229
-2.479,4.784,5.180
-2.584,4.821,5.136
-2.690,4.855,5.097
-2.799,4.886,5.064
-2.909,4.915,5.036
-3.021,4.941,5.013
-3.135,4.964,4.995
-3.250,4.982,4.984
-3.367,4.997,4.979
-3.486,5.008,4.978
