# bd735171-2659-4e9d-910b-4452d7fe53aa
# 520b0e7adf9ae2f693188b6d864b326c3aee9afa
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1750841; 4.5213674; 1.3914911; 0.4617978; 3.9701438; 1.2457699
0.0999812; 5.0763062; 4.5369620; 1.4365673; 0.4396743; 4.0013934; 1.4853069
0.1999624; 4.9769935; 4.5481941; 1.4794259; 0.4180169; 4.0383356; 1.7013352
0.2999436; 4.8772566; 4.5552687; 1.5201951; 0.3974502; 4.0802399; 1.8879844
0.3999249; 4.7773430; 4.5583743; 1.5589148; 0.3772957; 4.1262433; 2.0631870
0.4999061; 4.6773676; 4.5577089; 1.5956648; 0.3578573; 4.1759362; 2.2243008
0.5998873; 4.5774842; 4.5534677; 1.6304829; 0.3387388; 4.2288556; 2.3820520
0.6998685; 4.4778047; 4.5458464; 1.6634169; 0.3201314; 4.2848035; 2.5345280
0.7998497; 4.3784084; 4.5350378; 1.6945048; 0.3017756; 4.3435413; 2.6889629
0.8998309; 4.2793999; 4.5212376; 1.7237702; 0.2837334; 4.4050020; 2.8454151
0.9998121; 4.1808001; 4.5046307; 1.7512466; 0.2658899; 4.4691184; 3.0077413
1.0997934; 4.0827021; 4.4854137; 1.7769455; 0.2482844; 4.5359072; 3.1709841
1.1997746; 3.9850813; 4.4637610; 1.8008985; 0.2308348; 4.6052722; 3.3407697
1.2997558; 3.8880177; 4.4398688; 1.8231095; 0.2135649; 4.6772385; 3.5232085
1.3997370; 3.7914521; 4.4139004; 1.8436068; 0.1964184; 4.7519543; 3.7211735
1.4997182; 3.6954497; 4.3860507; 1.8623903; 0.1794064; 4.8296133; 3.9360367
1.5996994; 3.5999260; 4.3564722; 1.8794841; 0.1625034; 4.9104199; 4.1704369
1.6996806; 3.5049311; 4.3253573; 1.8948909; 0.1457618; 4.9946126; 4.4250944
1.7996619; 3.4103635; 4.2928488; 1.9086334; 0.1291169; 5.0824214; 4.7045301
1.8996431; 3.3162584; 4.2591345; 1.9207159; 0.1126351; 5.1741411; 5.0096992
1.9996243; 3.2225041; 4.2243497; 1.9311582; 0.0962403; 5.2700558; 5.2380425
2.0996055; 3.1291218; 4.1886769; 1.9399668; 0.0800042; 5.3685100; 5.2357059
2.1995867; 3.0359958; 4.1522456; 1.9471578; 0.0638390; 5.4651482; 5.2333704
2.2995679; 2.9431339; 4.1152323; 1.9527371; 0.0477917; 5.5600649; 5.2310359
2.3995491; 2.8504219; 4.0777645; 1.9567158; 0.0318015; 5.6533470; 5.2287024
2.4995304; 2.7578546; 4.0400121; 1.9590999; 0.0159016; 5.7450741; 5.2263700
2.5995116; 2.6653247; 4.0021033; 1.9598965; 0.0000468; 5.8353195; 5.2240386
2.6994928; 2.5728147; 3.9642020; 1.9591123; -0.0157313; 5.9241510; 3.7320095
2.7994740; 2.4802283; 3.9264394; 1.9567514; -0.0314802; 5.9868044; -6.3535402
2.8994552; 2.3875372; 3.8889739; 1.9528195; -0.0471743; 5.8797413; -5.8047393
2.9994364; 2.2946601; 3.8519418; 1.9473183; -0.0628564; 5.7801927; -5.3040900
3.0994176; 2.2015593; 3.8154970; 1.9402517; -0.0785065; 5.6877069; -4.8415585
3.1993989; 2.1081716; 3.7797826; 1.9316193; -0.0941635; 5.6019532; -4.4104885
3.2993801; 2.0144529; 3.7449495; 1.9214224; -0.1098151; 5.5226758; -4.0031750
3.3993613; 1.9203596; 3.7111482; 1.9096591; -0.1254948; 5.4497214; -3.6137847
3.4993425; 1.8258454; 3.6785287; 1.8963267; -0.1412041; 5.3830142; -3.2361346
3.5993237; 1.7308874; 3.6472493; 1.8814218; -0.1569625; 5.3225686; -2.8643353
3.6993049; 1.6354418; 3.6174613; 1.8649373; -0.1727851; 5.2684891; -2.4926061
3.7992862; 1.5395068; 3.5893297; 1.8468690; -0.1886815; 5.2209721; -2.1136759
3.8992674; 1.4430474; 3.5630100; 1.8272036; -0.2046952; 5.1803372; -1.7217182
3.9992486; 1.3460820; 3.5386730; 1.8059349; -0.2208108; 5.1470006; -1.3066347
4.0992298; 1.2485921; 3.5164801; 1.7830430; -0.2371128; 5.1215561; -0.8628490
4.1992110; 1.1506150; 3.4966068; 1.7585185; -0.2535130; 5.1046841; -0.3785927
4.2991922; 1.0521575; 3.4792217; 1.7323455; -0.2700604; 5.0972635; -0.0579354
4.3991734; 0.9532742; 3.4645022; 1.7045121; -0.2868794; 5.0961270; -0.0579096
4.4991547; 0.8540074; 3.4526250; 1.6749551; -0.3044153; 5.0949907; -0.0578838
4.5991359; 0.7544237; 3.4437739; 1.6436457; -0.3214233; 5.0938547; -0.0578579
4.6991171; 0.6546136; 3.4381255; 1.6107571; -0.3365695; 5.0927190; -0.0578321
4.7990983; 0.5546598; 3.4358376; 1.5764178; -0.3450494; 5.0915835; -0.0578064
4.8990795; 0.4547004; 3.4369763; 1.5426256; -0.3310590; 5.0904482; -0.0577806
4.9990607; 0.3548118; 3.4414236; 1.5102200; -0.3161083; 5.0893132; -0.0577548
5.0990419; 0.2551343; 3.4490194; 1.4795802; -0.2969144; 5.0881785; -0.0577548
5.1990232; 0.1557037; 3.4595730; 1.4508340; -0.2783043; 5.0870435; 0.0547074
5.2990044; 0.0566258; 3.4728872; 1.4238906; -0.2607548; 5.0881186; 0.5954227
5.3989856; -0.0420924; 3.4887831; 1.3986837; -0.2434714; 5.0998052; 1.0827126
5.4989668; -0.1403763; 3.5070740; 1.3751976; -0.2264042; 5.1209877; 1.5307910
5.5989480; -0.2382385; 3.5275887; 1.3534042; -0.2095334; 5.1507879; 1.9504849
5.6989292; -0.3356358; 3.5501459; 1.3332936; -0.1927933; 5.1885103; 2.3524372
5.7989104; -0.4325916; 3.5745792; 1.3148474; -0.1761860; 5.2336449; 2.7438552
5.8988917; -0.5290951; 3.6007147; 1.2980605; -0.1596298; 5.2858024; 3.1340477
5.9988729; -0.6251729; 3.6283882; 1.2829237; -0.1431513; 5.3447543; 3.5281481
6.0988541; -0.7208458; 3.6574342; 1.2694354; -0.1266622; 5.4103508; 3.9352620
6.1988353; -0.8161382; 3.6876880; 1.2575940; -0.1102033; 5.4825906; 4.3599185
6.2988165; -0.9111013; 3.7189931; 1.2474005; -0.0936870; 5.5615304; 4.8118989
6.3987977; -1.0057529; 3.7511816; 1.2388594; -0.0771608; 5.6473727; 5.2288530
6.4987789; -1.1001718; 3.7841056; 1.2319744; -0.0605434; 5.7391979; 5.2265205
6.5987602; -1.1943670; 3.8175925; 1.2267536; -0.0438833; 5.8295369; 5.2241891
6.6987414; -1.2884408; 3.8515018; 1.2232036; -0.0271089; 5.9184578; 3.2012162
6.7987226; -1.3823920; 3.8856549; 1.2213343; -0.0102672; 5.9722915; -7.9939858
6.8987038; -1.4763413; 3.9199164; 1.2211554; 0.0067020; 5.8369314; -7.5852050
6.9986850; -1.5702773; 3.9541016; 1.2226766; 0.0237575; 5.7055247; -7.0061213
7.0986662; -1.6643320; 3.9880772; 1.2259115; 0.0409535; 5.5814023; -6.4921997
7.1986474; -1.7584851; 4.0216531; 1.2308683; 0.0582448; 5.4638682; -6.0324504
7.2986287; -1.8528724; 4.0546940; 1.2375637; 0.0756759; 5.3523445; -5.6198950
7.3986099; -1.9474656; 4.0870056; 1.2460036; 0.0932328; 5.2463153; -5.2452934
7.4985911; -2.0423959; 4.1184472; 1.2562149; 0.1110060; 5.1453826; -4.9078366
