# x_m, y_m, v_mps
5.252,5.240,5.364
5.008,5.254,5.393
4.767,5.246,5.433
4.532,5.220,5.484
4.303,5.179,5.547
4.081,5.124,5.625
3.865,5.058,5.716
3.656,4.983,5.823
3.453,4.900,5.947
3.256,4.811,6.088
3.065,4.719,6.250
2.879,4.624,6.422
2.698,4.527,6.587
2.520,4.431,6.744
2.345,4.336,6.896
2.173,4.243,6.703
2.003,4.155,6.527
1.834,4.071,6.384
1.667,3.992,6.272
1.499,3.921,6.189
1.333,3.858,6.129
1.167,3.803,6.090
1.002,3.758,6.068
0.837,3.724,6.057
0.675,3.702,6.053
0.515,3.692,6.050
0.355,3.695,6.048
0.193,3.710,6.049
0.029,3.738,6.058
-0.138,3.776,6.080
-0.305,3.825,6.119
-0.473,3.882,6.180
-0.643,3.948,6.267
-0.813,4.020,6.385
-0.985,4.098,6.535
-1.158,4.181,6.687
-1.334,4.268,6.838
-1.513,4.357,6.661
-1.696,4.447,6.432
-1.883,4.536,6.231
-2.076,4.623,6.056
-2.274,4.707,5.903
-2.479,4.784,5.770
-2.690,4.855,5.656
-2.909,4.915,5.558
-3.135,4.964,5.476
-3.367,4.997,5.409
-3.606,5.014,5.355
-3.850,5.011,5.314
-4.097,4.984,5.284
-4.346,4.931,5.262
-4.593,4.847,5.249
-4.829,4.732,5.241
-5.046,4.591,5.237
-5.242,4.430,5.234
-5.418,4.251,5.231
-5.573,4.058,5.230
-5.708,3.853,5.233
-5.824,3.639,5.241
-5.920,3.419,5.253
-5.997,3.193,5.271
-6.057,2.963,5.292
-6.099,2.731,5.318
-6.124,2.498,5.348
-6.134,2.266,5.381
-6.128,2.034,5.417
-6.108,1.804,5.456
-6.074,1.576,5.495
-6.026,1.351,5.534
-5.964,1.128,5.572
-5.887,0.909,5.609
-5.797,0.696,5.643
-5.693,0.489,5.675
-5.575,0.288,5.706
-5.444,0.095,5.734
-5.299,-0.089,5.763
-5.142,-0.264,5.791
-4.971,-0.427,5.820
-4.789,-0.578,5.852
-4.595,-0.715,5.886
-4.393,-0.836,5.925
-4.185,-0.942,5.969
-3.974,-1.033,6.018
-3.760,-1.111,6.074
-3.544,-1.177,6.138
-3.327,-1.231,6.211
-3.111,-1.275,6.293
-2.895,-1.310,6.384
-2.680,-1.337,6.484
-2.467,-1.357,6.594
-2.255,-1.371,6.714
-2.045,-1.380,6.843
-1.837,-1.385,6.982
-1.631,-1.386,7.130
-1.427,-1.386,7.277
-1.224,-1.384,7.420
-1.022,-1.381,7.559
-0.820,-1.378,7.696
-0.619,-1.373,7.830
-0.418,-1.368,7.962
-0.217,-1.362,8.000
-0.017,-1.356,8.000
0.183,-1.350,8.000
0.383,-1.344,8.000
0.582,-1.338,8.000
0.781,-1.332,8.000
0.981,-1.326,8.000
1.180,-1.320,8.000
1.379,-1.314,8.000
1.578,-1.309,8.000
1.777,-1.304,8.000
1.976,-1.299,8.000
2.175,-1.295,8.000
2.374,-1.290,7.977
2.573,-1.286,7.786
2.774,-1.282,7.600
2.976,-1.277,7.421
3.180,-1.271,7.250
3.385,-1.262,7.088
3.593,-1.251,6.935
3.802,-1.236,6.792
4.013,-1.215,6.661
4.225,-1.190,6.541
4.438,-1.157,6.431
4.652,-1.117,6.332
4.866,-1.068,6.244
5.080,-1.010,6.166
5.294,-0.941,6.097
5.506,-0.861,6.038
5.715,-0.767,5.986
5.921,-0.659,5.941
6.121,-0.536,5.903
6.313,-0.398,5.869
6.496,-0.244,5.840
6.666,-0.075,5.815
6.822,0.105,5.792
6.963,0.297,5.770
7.089,0.497,5.748
7.199,0.704,5.726
7.294,0.918,5.703
7.374,1.136,5.679
7.440,1.358,5.654
7.492,1.582,5.627
7.529,1.809,5.598
7.553,2.037,5.567
7.564,2.268,5.534
7.559,2.500,5.502
7.539,2.732,5.471
7.504,2.963,5.443
7.452,3.192,5.417
7.384,3.418,5.395
7.299,3.639,5.376
7.196,3.854,5.360
7.077,4.062,5.348
6.940,4.261,5.340
6.785,4.449,5.335
6.612,4.624,5.332
6.421,4.783,5.331
6.212,4.924,5.328
5.987,5.043,5.328
5.747,5.137,5.333
5.500,5.202,5.344
