# x_m, y_m, v_mps
5.151,4.245,4.428
4.998,4.254,4.468
4.839,4.249,4.519
4.677,4.231,4.582
4.513,4.201,4.659
4.348,4.160,4.752
4.182,4.110,4.862
4.015,4.050,4.991
3.848,3.981,5.140
3.681,3.906,5.313
3.512,3.824,5.494
3.343,3.738,5.673
3.171,3.647,5.848
2.998,3.553,6.022
2.822,3.457,6.193
2.642,3.360,6.363
2.458,3.264,6.531
2.269,3.170,6.696
2.075,3.080,6.861
1.875,2.994,7.001
1.668,2.916,7.108
1.455,2.845,7.185
1.235,2.786,7.239
1.008,2.739,7.274
0.775,2.707,7.296
0.537,2.692,7.310
0.297,2.697,7.321
0.062,2.719,7.334
-0.168,2.757,7.323
-0.391,2.809,7.285
-0.607,2.871,7.230
-0.817,2.943,7.151
-1.020,3.022,7.043
-1.217,3.106,6.902
-1.409,3.193,6.722
-1.596,3.282,6.500
-1.778,3.372,6.231
-1.957,3.461,5.939
-2.132,3.547,5.677
-2.306,3.630,5.442
-2.477,3.707,5.234
-2.647,3.779,5.052
-2.815,3.843,4.895
-2.983,3.898,4.761
-3.149,3.944,4.647
-3.314,3.980,4.552
-3.476,4.003,4.474
-3.636,4.015,4.410
-3.791,4.012,4.360
-3.941,3.996,4.322
-4.082,3.966,4.294
-4.213,3.922,4.274
-4.336,3.862,4.261
-4.454,3.785,4.252
-4.566,3.693,4.248
-4.670,3.587,4.246
-4.765,3.469,4.245
-4.850,3.341,4.243
-4.924,3.203,4.243
-4.987,3.058,4.248
-5.039,2.906,4.257
-5.080,2.749,4.274
-5.109,2.588,4.297
-5.127,2.424,4.328
-5.134,2.257,4.366
-5.130,2.089,4.408
-5.115,1.921,4.453
-5.090,1.755,4.499
-5.055,1.590,4.546
-5.010,1.428,4.591
-4.954,1.269,4.634
-4.889,1.115,4.675
-4.814,0.966,4.715
-4.730,0.822,4.754
-4.637,0.685,4.793
-4.535,0.555,4.832
-4.424,0.433,4.872
-4.306,0.320,4.914
-4.181,0.216,4.958
-4.049,0.123,5.005
-3.909,0.039,5.057
-3.761,-0.037,5.114
-3.605,-0.103,5.177
-3.444,-0.162,5.247
-3.278,-0.213,5.325
-3.107,-0.255,5.411
-2.932,-0.291,5.505
-2.754,-0.320,5.608
-2.572,-0.343,5.721
-2.388,-0.360,5.844
-2.201,-0.372,5.977
-2.012,-0.380,6.120
-1.821,-0.385,6.272
-1.628,-0.386,6.431
-1.432,-0.386,6.587
-1.236,-0.384,6.741
-1.038,-0.382,6.891
-0.841,-0.378,7.039
-0.643,-0.373,7.183
-0.445,-0.368,7.325
-0.246,-0.363,7.464
-0.047,-0.357,7.601
0.152,-0.351,7.735
0.352,-0.344,7.867
0.551,-0.338,7.997
0.751,-0.332,8.000
0.951,-0.326,8.000
1.152,-0.320,8.000
1.352,-0.315,8.000
1.552,-0.310,8.000
1.752,-0.304,7.926
1.952,-0.300,7.712
2.152,-0.295,7.501
2.353,-0.290,7.292
2.553,-0.286,7.088
2.752,-0.282,6.891
2.949,-0.277,6.700
3.145,-0.271,6.518
3.338,-0.263,6.344
3.529,-0.253,6.180
3.718,-0.239,6.026
3.905,-0.221,5.883
4.090,-0.199,5.750
4.271,-0.171,5.629
4.450,-0.138,5.519
4.625,-0.098,5.420
4.796,-0.051,5.330
4.963,0.002,5.251
5.124,0.064,5.180
5.279,0.133,5.117
5.427,0.211,5.061
5.568,0.297,5.011
5.699,0.391,4.966
5.822,0.495,4.925
5.935,0.607,4.887
6.040,0.729,4.852
6.136,0.859,4.818
6.223,0.997,4.786
6.300,1.142,4.756
6.367,1.294,4.725
6.425,1.450,4.694
6.473,1.611,4.662
6.511,1.776,4.630
6.538,1.943,4.597
6.556,2.112,4.562
6.564,2.280,4.526
6.560,2.448,4.490
6.546,2.613,4.457
6.521,2.777,4.427
6.485,2.937,4.403
6.438,3.094,4.384
6.379,3.245,4.370
6.310,3.391,4.362
6.231,3.529,4.357
6.141,3.659,4.355
6.042,3.779,4.354
5.934,3.888,4.353
5.819,3.984,4.353
5.696,4.067,4.356
5.569,4.135,4.364
5.437,4.186,4.378
5.298,4.223,4.399
