# x_m, y_m, v_mps
5.151,4.245,4.830
5.075,4.251,4.829
4.998,4.254,4.832
4.919,4.253,4.839
4.839,4.249,4.850
4.758,4.241,4.866
4.677,4.231,4.886
4.595,4.217,4.910
4.513,4.201,4.939
4.431,4.182,4.972
4.348,4.160,5.010
4.265,4.136,5.053
4.182,4.110,5.100
4.099,4.081,5.153
4.015,4.050,5.211
3.932,4.016,5.274
3.848,3.981,5.342
3.764,3.944,5.417
3.681,3.906,5.497
3.597,3.866,5.583
3.512,3.824,5.671
3.428,3.782,5.757
3.343,3.738,5.843
3.257,3.693,5.929
3.171,3.647,6.014
3.085,3.600,6.099
2.998,3.553,6.183
2.910,3.505,6.267
2.822,3.457,6.350
2.732,3.409,6.433
2.642,3.360,6.515
2.551,3.312,6.597
2.458,3.264,6.679
2.364,3.217,6.754
2.269,3.170,6.816
2.173,3.125,6.864
2.075,3.080,6.899
1.976,3.036,6.922
1.875,2.994,6.935
1.773,2.954,6.938
1.668,2.916,6.936
1.563,2.879,6.934
1.455,2.845,6.933
1.346,2.814,6.931
1.235,2.786,6.929
1.122,2.761,6.927
1.008,2.739,6.925
0.892,2.721,6.924
0.775,2.707,6.922
0.656,2.697,6.920
0.537,2.692,6.918
0.417,2.692,6.916
0.297,2.697,6.914
0.179,2.706,6.913
0.062,2.719,6.911
-0.054,2.736,6.909
-0.168,2.757,6.907
-0.280,2.782,6.906
-0.391,2.809,6.904
-0.500,2.839,6.902
-0.607,2.871,6.900
-0.713,2.906,6.899
-0.817,2.943,6.902
-0.919,2.982,6.914
-1.020,3.022,6.933
-1.119,3.063,6.961
-1.217,3.106,6.929
-1.314,3.149,6.878
-1.409,3.193,6.812
-1.503,3.237,6.732
-1.596,3.282,6.636
-1.687,3.327,6.524
-1.778,3.372,6.395
-1.868,3.417,6.251
-1.957,3.461,6.114
-2.045,3.504,5.986
-2.132,3.547,5.865
-2.219,3.589,5.751
-2.306,3.630,5.644
-2.392,3.669,5.544
-2.477,3.707,5.451
-2.562,3.744,5.365
-2.647,3.779,5.285
-2.731,3.812,5.211
-2.815,3.843,5.144
-2.899,3.872,5.082
-2.983,3.898,5.026
-3.066,3.923,4.976
-3.149,3.944,4.930
-3.231,3.963,4.890
-3.314,3.980,4.855
-3.395,3.993,4.825
-3.476,4.003,4.799
-3.556,4.011,4.778
-3.636,4.015,4.762
-3.714,4.015,4.750
-3.791,4.012,4.742
-3.867,4.006,4.739
-3.941,3.996,4.738
-4.012,3.983,4.738
-4.082,3.966,4.737
-4.149,3.946,4.736
-4.213,3.922,4.735
-4.275,3.894,4.735
-4.336,3.862,4.734
-4.396,3.825,4.733
-4.454,3.785,4.732
-4.511,3.741,4.732
