# 2418c532-6a6e-44ff-9df6-a0228145f156
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1750841; 4.5213674; 1.3914911; 0.4617978; 4.5423162; 1.3625075
0.0999812; 5.0763062; 4.5369620; 1.4365673; 0.4396743; 4.5722081; 1.6553873
0.1999624; 4.9769935; 4.5481941; 1.4794259; 0.4180169; 4.6082646; 1.9179504
0.2999436; 4.8772566; 4.5552687; 1.5201951; 0.3974502; 4.6496903; 2.1436688
0.3999249; 4.7773430; 4.5583743; 1.5589148; 0.3772957; 4.6955589; 2.3538713
0.4999061; 4.6773676; 4.5577089; 1.5956648; 0.3578573; 4.7454146; 2.5457021
0.5998873; 4.5774842; 4.5534677; 1.6304829; 0.3387388; 4.7987503; 2.7319665
0.6998685; 4.4778047; 4.5458464; 1.6634169; 0.3201314; 4.8553367; 2.9106068
0.7998497; 4.3784084; 4.5350378; 1.6945048; 0.3017756; 4.9149066; 3.0903054
0.8998309; 4.2793999; 4.5212376; 1.7237702; 0.2837334; 4.9773740; 3.2712973
0.9998121; 4.1808001; 4.5046307; 1.7512466; 0.2658899; 5.0426569; 3.4582954
1.0997934; 4.0827021; 4.4854137; 1.7769455; 0.2482844; 5.1107649; 3.6517985
1.1997746; 3.9850813; 4.4637610; 1.8008985; 0.2308348; 5.1817121; 3.8556730
1.2997558; 3.8880177; 4.4398688; 1.8231095; 0.2135649; 5.2555808; 4.0708363
1.3997370; 3.7914521; 4.4139004; 1.8436068; 0.1964184; 5.3324613; 4.3006852
1.4997182; 3.6954497; 4.3860507; 1.8623903; 0.1794064; 5.4124966; 4.5467526
1.5996994; 3.5999260; 4.3564722; 1.8794841; 0.1625034; 5.4958438; 4.8119452
1.6996806; 3.5049311; 4.3253573; 1.8948909; 0.1457618; 5.5826971; 5.0968498
1.7996619; 3.4103635; 4.2928488; 1.9086334; 0.1291169; 5.6732430; 5.2281997
1.8996431; 3.3162584; 4.2591345; 1.9207159; 0.1126351; 5.7646448; 5.2258675
1.9996243; 3.2225041; 4.2243497; 1.9311582; 0.0962403; 5.8545800; 5.2235363
2.0996055; 3.1291218; 4.1886769; 1.9399668; 0.0800042; 5.9431151; 5.2212062
2.1995867; 3.0359958; 4.1522456; 1.9471578; 0.0638390; 6.0303120; 5.2188772
2.2995679; 2.9431339; 4.1152323; 1.9527371; 0.0477917; 6.1162278; 5.2165491
2.3995491; 2.8504219; 4.0777645; 1.9567158; 0.0318015; 6.2009157; 5.2142221
2.4995304; 2.7578546; 4.0400121; 1.9590999; 0.0159016; 6.2844255; 5.2118962
2.5995116; 2.6653247; 4.0021033; 1.9598965; 0.0000468; 6.3668036; 5.2095713
2.6994928; 2.5728147; 3.9642020; 1.9591123; -0.0157313; 6.4480932; 5.2072474
2.7994740; 2.4802283; 3.9264394; 1.9567514; -0.0314802; 6.5283352; 2.5016092
2.8994552; 2.3875372; 3.8889739; 1.9528195; -0.0471743; 6.5665355; -6.2797187
2.9994364; 2.2946601; 3.8519418; 1.9473183; -0.0628564; 6.4702148; -5.7127478
3.0994176; 2.2015593; 3.8154970; 1.9402517; -0.0785065; 6.3813279; -5.1836125
3.1993989; 2.1081716; 3.7797826; 1.9316193; -0.0941635; 6.2995887; -4.6841359
3.2993801; 2.0144529; 3.7449495; 1.9214224; -0.1098151; 6.2248025; -4.2048558
3.3993613; 1.9203596; 3.7111482; 1.9096591; -0.1254948; 6.1568948; -3.7384116
3.4993425; 1.8258454; 3.6785287; 1.8963267; -0.1412041; 6.0958848; -3.2768547
3.5993237; 1.7308874; 3.6472493; 1.8814218; -0.1569625; 6.0419006; -2.8106567
3.6993049; 1.6354418; 3.6174613; 1.8649373; -0.1727851; 5.9952096; -2.3202727
3.7992862; 1.5395068; 3.5893297; 1.8468690; -0.1886815; 5.9563890; -1.8087848
3.8992674; 1.4430474; 3.5630100; 1.8272036; -0.2046952; 5.9259498; -1.2677011
3.9992486; 1.3460820; 3.5386730; 1.8059349; -0.2208108; 5.9045227; -0.6828033
4.0992298; 1.2485921; 3.5164801; 1.7830430; -0.2371128; 5.8929495; -0.0774346
4.1992110; 1.1506150; 3.4966068; 1.7585185; -0.2535130; 5.8916356; -0.0774001
