# x_m, y_m, v_mps
5.252,5.240,5.797
5.130,5.250,5.796
5.008,5.254,5.794
4.887,5.252,5.793
4.767,5.246,5.791
4.649,5.235,5.789
4.532,5.220,5.788
4.417,5.201,5.786
4.303,5.179,5.785
4.191,5.153,5.786
4.081,5.124,5.795
3.972,5.092,5.810
3.865,5.058,5.832
3.759,5.021,5.861
3.656,4.983,5.895
3.554,4.942,5.935
3.453,4.900,5.980
3.354,4.856,6.032
3.256,4.811,6.090
3.160,4.766,6.153
3.065,4.719,6.222
2.972,4.672,6.298
2.879,4.624,6.380
2.788,4.576,6.464
2.698,4.527,6.546
2.608,4.479,6.626
2.520,4.431,6.705
2.432,4.383,6.782
2.345,4.336,6.857
2.259,4.289,6.846
2.173,4.243,6.764
2.088,4.199,6.694
2.003,4.155,6.635
1.919,4.112,6.586
1.834,4.071,6.549
1.750,4.031,6.523
1.667,3.992,6.508
1.583,3.956,6.504
1.499,3.921,6.503
1.416,3.888,6.501
1.333,3.858,6.500
1.250,3.829,6.499
1.167,3.803,6.498
1.084,3.779,6.496
1.002,3.758,6.495
0.919,3.740,6.494
0.837,3.724,6.493
0.756,3.712,6.491
0.675,3.702,6.490
0.595,3.695,6.489
0.515,3.692,6.488
0.435,3.692,6.487
0.355,3.695,6.486
0.274,3.701,6.485
0.193,3.710,6.483
0.111,3.723,6.482
0.029,3.738,6.481
-0.054,3.756,6.480
-0.138,3.776,6.478
-0.221,3.799,6.477
-0.305,3.825,6.476
-0.389,3.853,6.475
-0.473,3.882,6.473
-0.558,3.914,6.472
-0.643,3.948,6.480
-0.728,3.983,6.500
-0.813,4.020,6.531
-0.899,4.059,6.574
-0.985,4.098,6.628
-1.071,4.139,6.694
-1.158,4.181,6.769
-1.246,4.224,6.843
-1.334,4.268,6.850
-1.423,4.312,6.722
-1.513,4.357,6.605
-1.604,4.402,6.497
-1.696,4.447,6.397
-1.789,4.491,6.306
-1.883,4.536,6.223
-1.979,4.580,6.147
-2.076,4.623,6.078
-2.174,4.665,6.015
-2.274,4.707,5.959
-2.376,4.746,5.909
-2.479,4.784,5.866
-2.584,4.821,5.829
-2.690,4.855,5.799
-2.799,4.886,5.776
-2.909,4.915,5.760
-3.021,4.941,5.752
-3.135,4.964,5.751
-3.250,4.982,5.749
-3.367,4.997,5.747
-3.486,5.008,5.746
-3.606,5.014,5.744
-3.728,5.015,5.743
-3.850,5.011,5.741
-3.973,5.000,5.740
-4.097,4.984,5.738
-4.222,4.961,5.736
-4.346,4.931,5.735
-4.470,4.893,5.733
-4.593,4.847,5.731
-4.713,4.793,5.730
-4.829,4.732,5.728
-4.940,4.664,5.726
-5.046,4.591,5.725
-5.147,4.513,5.723
-5.242,4.430,5.722
-5.333,4.342,5.720
-5.418,4.251,5.718
-5.498,4.156,5.717
-5.573,4.058,5.715
-5.643,3.957,5.714
-5.708,3.853,5.712
-5.769,3.747,5.711
-5.824,3.639,5.709
-5.874,3.530,5.707
-5.920,3.419,5.706
-5.961,3.306,5.704
-5.997,3.193,5.703
-6.029,3.078,5.701
-6.057,2.963,5.700
-6.080,2.847,5.698
-6.099,2.731,5.697
-6.113,2.614,5.695
-6.124,2.498,5.694
-6.131,2.382,5.692
-6.134,2.266,5.691
-6.133,2.150,5.690
-6.128,2.034,5.688
-6.120,1.919,5.687
-6.108,1.804,5.685
-6.093,1.690,5.684
-6.074,1.576,5.682
-6.052,1.463,5.681
-6.026,1.351,5.679
-5.997,1.239,5.678
-5.964,1.128,5.676
-5.927,1.018,5.675
-5.887,0.909,5.673
-5.844,0.802,5.672
-5.797,0.696,5.671
-5.747,0.592,5.669
-5.693,0.489,5.668
-5.636,0.387,5.666
-5.575,0.288,5.665
-5.511,0.190,5.664
-5.444,0.095,5.664
-5.373,0.002,5.665
-5.299,-0.089,5.667
-5.222,-0.178,5.669
-5.142,-0.264,5.673
-5.058,-0.347,5.677
-4.971,-0.427,5.683
-4.882,-0.504,5.689
-4.789,-0.578,5.697
-4.693,-0.648,5.706
-4.595,-0.715,5.717
-4.494,-0.778,5.728
-4.393,-0.836,5.741
-4.289,-0.891,5.756
-4.185,-0.942,5.771
-4.080,-0.989,5.789
-3.974,-1.033,5.808
-3.867,-1.074,5.829
-3.760,-1.111,5.852
-3.652,-1.145,5.877
-3.544,-1.177,5.903
-3.436,-1.205,5.932
-3.327,-1.231,5.963
-3.219,-1.254,5.995
-3.111,-1.275,6.030
-3.003,-1.293,6.067
-2.895,-1.310,6.106
-2.787,-1.324,6.146
-2.680,-1.337,6.189
-2.573,-1.348,6.233
-2.467,-1.357,6.280
-2.361,-1.364,6.328
-2.255,-1.371,6.379
-2.150,-1.376,6.431
-2.045,-1.380,6.486
-1.941,-1.383,6.542
-1.837,-1.385,6.600
-1.733,-1.386,6.660
-1.631,-1.386,6.722
-1.528,-1.387,6.785
-1.427,-1.386,6.850
-1.325,-1.385,6.916
-1.224,-1.384,6.984
-1.123,-1.383,7.054
-1.022,-1.381,7.125
-0.921,-1.380,7.198
-0.820,-1.378,7.270
-0.719,-1.375,7.341
-0.619,-1.373,7.412
-0.518,-1.371,7.482
-0.418,-1.368,7.551
-0.317,-1.365,7.620
-0.217,-1.362,7.687
-0.117,-1.359,7.755
-0.017,-1.356,7.821
0.083,-1.353,7.887
