# 39752222-1a35-4e10-a540-d2adae2b20ad
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1750841; 4.5213674; 1.3914911; 0.4617978; 4.1379073; 2.0547726
0.1993132; 4.9776402; 4.5481347; 1.4791544; 0.4181510; 4.2357247; 2.4577766
0.3986264; 4.7786415; 4.5583586; 1.5584247; 0.3775490; 4.3498389; 2.8141480
0.5979396; 4.5794283; 4.5535832; 1.6298228; 0.3391024; 4.4769289; 3.1586947
0.7972528; 4.3809850; 4.5353571; 1.6937207; 0.3022454; 4.6154124; 3.5140377
0.9965660; 4.1839927; 4.5052118; 1.7503829; 0.2664627; 4.7647476; 3.8998993
1.1958792; 3.9888729; 4.4646473; 1.7999984; 0.2315089; 4.9251825; 4.3300758
1.3951924; 3.7958272; 4.4151224; 1.8427129; 0.1971930; 5.0974018; 4.8182697
1.5945056; 3.6048726; 4.3580473; 1.8786383; 0.1633746; 5.2824421; 5.2377509
1.7938188; 3.4158743; 4.2947824; 1.9078765; 0.1300818; 5.4765044; 5.2330932
1.9931320; 3.2285773; 4.2266361; 1.9305303; 0.0972964; 5.6637575; 5.2284396
2.1924452; 3.0426354; 4.1548678; 1.9466980; 0.0649870; 5.8448561; 5.2237901
2.3917584; 2.8576376; 4.0806951; 1.9564633; 0.0330419; 6.0203558; 5.2191448
2.5910716; 2.6731319; 4.0053042; 1.9598905; 0.0013798; 6.1907328; 5.2145036
2.7903848; 2.4886472; 3.9298617; 1.9570310; -0.0300531; 6.3563993; 0.5608217
2.9896980; 2.3037147; 3.8555251; 1.9479229; -0.0613328; 6.3739603; -6.5674124
3.1890112; 2.1178888; 3.7834548; 1.9325890; -0.0925397; 6.1651785; -5.6545119
3.3883244; 1.9307674; 3.7148246; 1.9110348; -0.1237646; 5.9795809; -4.8276391
3.5876376; 1.7420127; 3.6508319; 1.8832456; -0.1551192; 5.8164391; -4.0571078
3.7869508; 1.5513732; 3.5927065; 1.8491847; -0.1867142; 5.6757108; -3.3124111
3.9862640; 1.3587069; 3.5417167; 1.8087888; -0.2187047; 5.5581723; -2.5605320
4.1855772; 1.1640060; 3.4991745; 1.7619599; -0.2512708; 5.4655817; -1.7702709
4.3848904; 0.9674251; 3.4664352; 1.7085916; -0.2843906; 5.4006395; -0.8644570
4.5842036; 0.7693107; 3.4448962; 1.6484276; -0.3191916; 5.3686415; -0.0642401
4.7835168; 0.5702355; 3.4359671; 1.5818096; -0.3472620; 5.3662560; -0.0642401
4.9828300; 0.3710097; 3.4404830; 1.5153744; -0.3192454; 5.3638695; 0.7507770
5.1821432; 0.1724617; 3.4575931; 1.4555555; -0.2812858; 5.3916950; 1.7580643
5.3814564; -0.0248204; 3.4858188; 1.4029768; -0.2464794; 5.4562978; 2.5956025
5.5807696; -0.2204834; 3.5237025; 1.3572403; -0.2125896; 5.5503029; 3.3822714
5.7800828; -0.4143702; 3.5698433; 1.3181938; -0.1793129; 5.6704607; 4.1626221
5.9793960; -0.6064878; 3.6228841; 1.2857435; -0.1463689; 5.8149338; 4.9753291
6.1787092; -0.7969794; 3.6815069; 1.2598460; -0.1135297; 5.9830388; 5.2201441
6.3780224; -0.9860982; 3.7444247; 1.2404990; -0.0806118; 6.1544813; 5.2155020
6.5773356; -1.1741837; 3.8103720; 1.2277327; -0.0474725; 6.3211294; 5.2108640
6.7766488; -1.3616382; 3.8780948; 1.2216024; -0.0140055; 6.4833529; -8.7919889
6.9759620; -1.5489039; 3.9463391; 1.2221807; 0.0198597; 6.2071850; -8.1674948
7.1752752; -1.7364387; 4.0138397; 1.2295534; 0.0541823; 5.9391386; -7.1887774
7.3745884; -1.9246912; 4.0793091; 1.2438135; 0.0889762; 5.6927788; -6.3485531
7.5739016; -2.1140744; 4.1414263; 1.2650761; 0.1244467; 5.4659885; -5.6314448
7.7732148; -2.3049376; 4.1988254; 1.2934486; 0.1603274; 5.2566327; -5.0095837
7.9725280; -2.4975341; 4.2500929; 1.3290422; 0.1969010; 5.0631250; -4.4717392
8.1718412; -2.6919893; 4.2937613; 1.3719759; 0.2339977; 4.8839207; -3.9949546
8.3711544; -2.8882633; 4.3283111; 1.4223940; 0.2719970; 4.7180703; -3.5768167
8.5704676; -3.0861133; 4.3521723; 1.4804317; 0.3105282; 4.5644686; -3.1790575
8.7697808; -3.2850514; 4.3637416; 1.5463180; 0.3508229; 4.4234735; -2.7735149
8.9690940; -3.4843007; 4.3613711; 1.6204904; 0.3936658; 4.2966872; -2.3570574
9.1684072; -3.6827379; 4.3433835; 1.7033888; 0.4384236; 4.1859211; -1.9064893
9.3677204; -3.8788322; 4.3081426; 1.7953872; 0.4850807; 4.0941371; -1.3686645
9.5670336; -4.0705880; 4.2541322; 1.8969471; 0.5344914; 4.0269558; -0.6942932
9.7663468; -4.2554915; 4.1800362; 2.0086459; 0.5860410; 3.9924440; -0.0355267
9.9656600; -4.4305013; 4.0849150; 2.1302295; 0.6279258; 3.9906701; -0.0355267
10.1649732; -4.5924521; 3.9689247; 2.2539889; 0.6121935; 3.9888953; 0.2237186
10.3642864; -4.7391985; 3.8341976; 2.3716657; 0.5704758; 4.0000582; 0.8364282
10.5635996; -4.8696982; 3.6836673; 2.4819388; 0.5369405; 4.0415205; 1.1932366
10.7629128; -4.9833909; 3.5200621; 2.5855209; 0.5035058; 4.0999444; 1.4987979
10.9622260; -5.0801177; 3.3458796; 2.6828509; 0.4740367; 4.1721702; 1.7096087
11.1615392; -5.1599719; 3.1633367; 2.7747530; 0.4486287; 4.2530576; 1.8446276
11.3608524; -5.2232245; 2.9743910; 2.8614784; 0.4224545; 4.3386422; 2.0058012
11.5601656; -5.2703320; 2.7807829; 2.9437143; 0.4030853; 4.4298287; 2.0463265
11.7594788; -5.3017634; 2.5840158; 3.0219978; 0.3828640; 4.5209625; 2.1290081
11.9587920; -5.3180978; 2.3854204; 3.0964446; 0.3642912; 4.6138683; 2.1975589
12.1581052; -5.3200161; 2.1861582; -3.1164724; 0.3411847; 4.7078430; 2.3886127
12.3574184; -5.3083344; 1.9872252; -3.0498614; 0.3276017; 4.8079049; 2.3756091
12.5567316; -5.2836226; 1.7894863; -2.9847168; 0.3261468; 4.9053981; 2.0982734
12.7560448; -5.2461276; 1.5937674; -2.9199937; 0.3234370; 4.9899256; 1.8910804
12.9553580; -5.1961000; 1.4008701; -2.8557396; 0.3215600; 5.0648980; 1.6937332
13.1546712; -5.1338052; 1.2115779; -2.7915448; 0.3227973; 5.1311167; 1.4425434
13.3539844; -5.0594738; 1.0266809; -2.7271213; 0.3238504; 5.1868482; 1.2273082
13.5532976; -4.9733641; 0.8469670; -2.6623129; 0.3266853; 5.2337971; 0.9901219
13.7526108; -4.8757551; 0.6732307; -2.5970703; 0.3282706; 5.2713680; 0.8162510
13.9519240; -4.7669852; 0.5062557; -2.5312311; 0.3326803; 5.3021411; 0.5847446
