# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.695769,-0.612662,5.179769,0.148878,0.000000,-0.270186,-1.477670,-0.059853
-0.690217,-0.696113,5.178802,0.151800,0.099794,-0.267299,-1.508878,-0.059830
-0.687302,-0.780402,5.177828,0.155517,0.199589,-0.263644,-1.539341,-0.059808
-0.686949,-0.865457,5.176845,0.159966,0.299383,-0.259220,-1.568881,-0.059785
-0.693619,-1.037461,5.175225,0.170441,0.399177,-0.248093,4.658686,0.151381
-0.700482,-1.124224,5.177770,0.176643,0.498972,-0.241398,4.632872,0.351230
-0.709587,-1.211426,5.183714,0.183448,0.598766,-0.233953,4.608529,0.561816
-0.720850,-1.299000,5.193274,0.190818,0.698560,-0.225759,4.585503,0.783677
-0.734185,-1.386924,5.206677,0.198714,0.798355,-0.216786,4.563743,1.018649
-0.749504,-1.475192,5.224175,0.207105,0.898149,-0.207090,4.543225,1.266088
-0.766703,-1.563706,5.245982,0.215950,0.997944,-0.196734,4.523941,1.525629
-0.785699,-1.652491,5.272321,0.225228,1.097738,-0.185783,4.505872,1.797050
-0.806395,-1.741512,5.303380,0.234908,1.197532,-0.174309,4.489004,2.080470
-0.828703,-1.830787,5.339357,0.244961,1.297327,-0.162374,4.473332,2.376499
-0.852529,-1.920344,5.380447,0.255355,1.397121,-0.150056,4.458853,2.685505
-0.877754,-2.010118,5.426790,0.266051,1.496915,-0.137428,4.445557,3.008530
-0.904290,-2.100132,5.478569,0.277024,1.596710,-0.124562,4.433437,3.346706
-0.932034,-2.190381,5.535945,0.288252,1.696504,-0.111565,4.422488,3.700108
-0.960886,-2.280857,5.599058,0.299720,1.796298,-0.098487,4.412701,4.071223
-0.990759,-2.371590,5.668091,0.311417,1.896093,-0.085380,4.404079,4.462691
-1.021558,-2.462604,5.743243,0.323327,1.995887,-0.072286,4.396616,4.877772
-1.053193,-2.553949,5.824765,0.335430,2.095681,-0.059249,4.390309,5.320129
