# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
-0.546381,-0.609230,4.829559,0.000000,0.000000,-0.271850,-1.462034,0.788489
-0.536879,-0.708547,4.845825,0.000000,0.099794,-0.260775,-1.488608,1.025530
-0.529962,-0.808100,4.866899,0.000000,0.199589,-0.249464,-1.514069,1.257637
-0.525526,-0.907781,4.892618,0.000000,0.299383,-0.237345,-1.538374,1.502895
-0.523452,-1.007539,4.923177,0.000000,0.399177,-0.224722,-1.561424,1.755054
-0.523615,-1.107376,4.958625,0.000000,0.498972,-0.212399,4.699943,1.994201
-0.525895,-1.207100,4.998598,0.000000,0.598766,-0.201302,4.679309,2.196575
-0.530179,-1.306812,5.042261,0.000000,0.698560,-0.190200,4.659772,2.383183
-0.536355,-1.406415,5.089209,0.000000,0.798355,-0.178908,4.641349,2.578176
-0.544306,-1.505878,5.139516,0.000000,0.898149,-0.167509,4.624068,2.781444
-0.553925,-1.605248,5.193243,0.000000,0.997944,-0.156285,4.607906,2.985963
-0.565086,-1.704391,5.250308,0.000000,1.097738,-0.145685,4.592844,3.178676
-0.577691,-1.803393,5.310382,0.000000,1.197532,-0.135169,4.578829,3.378632
-0.591631,-1.902218,5.373500,0.000000,1.297327,-0.124811,4.565859,3.584762
-0.606799,-2.000848,5.439667,0.000000,1.397121,-0.114612,4.553913,3.798397
-0.623096,-2.099315,5.508910,0.000000,1.496915,-0.104480,4.542980,4.024472
-0.640418,-2.197604,5.581338,0.000000,1.596710,-0.093768,4.533086,4.289863
-0.658658,-2.295718,5.657521,0.000000,1.696504,-0.083076,4.524262,4.574643
-0.677713,-2.393689,5.737647,0.000000,1.796298,-0.072841,4.516494,4.863200
-0.697481,-2.491527,5.821617,0.000000,1.896093,-0.063197,4.509704,5.151082
-0.717855,-2.589182,5.909258,0.000000,1.995887,-0.053568,4.503880,5.465171
-0.738770,-2.686817,6.000843,0.000000,2.095681,-0.044030,4.499008,5.805344
-0.760099,-2.784294,6.096621,0.000000,2.195476,-0.034477,4.495091,6.180478
-0.781765,-2.881703,6.196963,0.000000,2.295270,-0.024592,4.492134,6.612421
-0.803680,-2.979106,6.302548,0.000000,2.395064,-0.014200,4.490197,-6.591444
-0.825707,-3.076363,6.197301,0.000000,2.494859,-0.003754,4.489302,-7.742619
-0.847805,-3.173765,6.071342,0.000000,2.594653,0.006828,4.489454,-7.259760
-0.869814,-3.271082,5.950817,0.000000,2.694448,0.017493,4.490667,-6.822206
-0.891654,-3.368439,5.835289,0.000000,2.794242,0.028373,4.492950,-6.420915
-0.913233,-3.465928,5.724426,0.000000,2.894036,0.039551,4.496341,-6.059885
-0.934394,-3.563351,5.617790,0.000000,2.993831,0.050823,4.500845,-5.739817
-0.955102,-3.661073,5.514886,0.000000,3.093625,0.062050,4.506482,-5.451649
-0.975180,-3.758799,5.415337,0.000000,3.193419,0.073360,4.513236,-5.188933
-0.994542,-3.856674,5.318856,0.000000,3.293214,0.084847,4.521125,-4.949548
-1.013086,-3.954773,5.225165,0.000000,3.393008,0.096507,4.530178,-4.736059
-1.030660,-4.052905,5.133915,0.000000,3.492802,0.108198,4.540381,-4.502291
-1.047201,-4.151397,5.045640,0.000000,3.592597,0.121371,4.551842,-4.279268
-1.062531,-4.249977,4.960281,0.000000,3.692391,0.134652,4.564612,-4.058371
-1.076538,-4.348773,4.877948,0.000000,3.792185,0.148180,4.578718,-3.849384
-1.089085,-4.447793,4.798551,0.000000,3.891980,0.161975,4.594196,-3.657542
-1.100023,-4.546924,4.721873,0.000000,3.991774,0.175794,4.611040,-3.480079
-1.109228,-4.646330,4.647741,0.000000,4.091568,0.189694,4.629283,-3.318393
-1.116546,-4.745833,4.575935,0.000000,4.191363,0.203570,4.648902,-3.160329
-1.121842,-4.845477,4.506486,0.000000,4.291157,0.217891,4.669920,-3.006397
-1.124970,-4.945221,4.439412,0.000000,4.390951,0.232610,4.692399,-2.863783
-1.125782,-5.044993,4.374563,0.000000,4.490746,0.247376,-1.566842,-2.728963
-1.124132,-5.144756,4.311859,0.000000,4.590540,0.262312,-1.541413,-2.607517
-1.119869,-5.244463,4.251082,0.000000,4.690335,0.277118,-1.514493,-2.472989
-1.112854,-5.343980,4.192626,0.000000,4.790129,0.293053,-1.486071,-2.332610
-1.102929,-5.443274,4.136732,0.000000,4.889923,0.309726,-1.455996,-2.213634
-1.089937,-5.542237,4.082981,0.000000,4.989718,0.325683,-1.424254,-2.141694
-1.073746,-5.640673,4.030295,0.000000,5.089512,0.339523,-1.391076,-2.071420
-1.054218,-5.738568,3.978674,0.000000,5.189306,0.353705,-1.356476,-1.987847
-1.031272,-5.835603,3.928498,0.000000,5.289101,0.369057,-1.320449,-1.914941
-1.004751,-5.931799,3.879548,0.000000,5.388895,0.384182,-1.282860,-1.794677
-0.974555,-6.026927,3.833105,0.000000,5.488689,0.402464,-1.243726,-1.544135
-0.940595,-6.120667,3.792691,0.000000,5.588484,0.428692,-1.202295,-1.276198
-0.902574,-6.213068,3.758961,0.000000,5.688278,0.455413,-1.158123,-0.978150
-0.860473,-6.303473,3.732903,0.000000,5.788072,0.482962,-1.111349,-0.613442
