# x_m, y_m, vx_mps, d_m, s_m, kappa_radpm, psi_rad, ax_mps2
0.300798,-0.529879,5.954845,-0.850787,0.000000,-0.193168,-1.468196,-0.078549
0.308519,-0.645856,5.953312,-0.847691,0.099794,-0.191571,-1.496548,-0.078531
0.312514,-0.761261,5.951788,-0.843777,0.199589,-0.189541,-1.524548,-0.078526
0.312995,-0.876016,5.950274,-0.839111,0.299383,-0.187075,-1.552086,-0.078492
0.304208,-1.103350,5.947273,-0.826725,0.399177,-0.180806,4.677779,-0.078440
0.295319,-1.215773,5.945785,-0.820220,0.498972,-0.176988,4.652207,-0.078382
0.283673,-1.327334,5.944306,-0.813102,0.598766,-0.172698,4.627503,-0.078454
0.269448,-1.437960,5.942834,-0.805418,0.698560,-0.167936,4.603797,0.087814
0.252822,-1.547601,5.944472,-0.797208,0.798355,-0.162690,4.581210,0.326229
0.233966,-1.656264,5.950522,-0.788504,0.898149,-0.156997,4.559920,0.569570
0.213058,-1.763879,5.961006,-0.779344,0.997944,-0.150878,4.539931,0.818571
0.190243,-1.870522,5.975963,-0.769751,1.097738,-0.144344,4.521199,1.074657
0.165687,-1.976151,5.995433,-0.759763,1.197532,-0.137410,4.503711,1.339201
0.139554,-2.080745,6.019466,-0.749415,1.297327,-0.130079,4.487448,1.614358
0.111994,-2.184345,6.048149,-0.738744,1.397121,-0.122362,4.472392,1.902120
0.083167,-2.286941,6.081571,-0.727786,1.496915,-0.114264,4.458537,2.205021
0.053195,-2.388618,6.119885,-0.716559,1.596710,-0.105789,4.445875,2.525904
0.022217,-2.489389,6.163244,-0.705082,1.696504,-0.096943,4.434398,2.868035
-0.009644,-2.589301,6.211853,-0.693366,1.796298,-0.087721,4.424104,3.235552
-0.042271,-2.688403,6.265961,-0.681429,1.896093,-0.078127,4.414987,3.632811
-0.075530,-2.786689,6.325833,-0.669296,1.995887,-0.068146,4.407041,4.066046
-0.109294,-2.884183,6.391807,-0.656994,2.095681,-0.057786,4.400264,-3.033379
-0.143444,-2.980933,6.342929,-0.644547,2.195476,-0.047071,4.394651,-5.365908
-0.177865,-3.076986,6.256016,-0.631975,2.295270,-0.036010,4.390204,-6.081485
-0.212440,-3.172367,6.156602,-0.619294,2.395064,-0.024615,4.386925,-6.759800
-0.247071,-3.267155,6.044783,-0.606508,2.494859,-0.012899,4.384810,-7.402978
-0.281622,-3.361325,5.920662,-0.593640,2.594653,-0.000870,4.383861,-7.535932
-0.315995,-3.454949,5.792327,-0.580697,2.694448,0.011459,4.384079,-7.049056
-0.350081,-3.548070,5.670365,-0.567688,2.794242,0.024077,4.385469,-6.617832
-0.383759,-3.640681,5.554163,-0.554626,2.894036,0.036978,4.388040,-6.212022
-0.416958,-3.732912,5.443426,-0.541504,2.993831,0.050180,4.391799,-5.851078
-0.449538,-3.824699,5.337707,-0.528339,3.093625,0.063644,4.396758,-5.513531
-0.481410,-3.916119,5.236747,-0.515134,3.193419,0.077469,4.402924,-5.196736
-0.512464,-4.007181,5.140384,-0.501899,3.293214,0.091712,4.410304,-4.908122
-0.542573,-4.097863,5.048327,-0.488652,3.393008,0.106347,4.418909,-4.619346
-0.571662,-4.188274,4.960661,-0.475395,3.492802,0.121322,4.428750,-4.341757
-0.599592,-4.278342,4.877429,-0.462146,3.592597,0.136609,4.439838,-4.075150
-0.626270,-4.368126,4.798533,-0.448902,3.692391,0.152193,4.452182,-3.819174
-0.651592,-4.457638,4.723914,-0.435664,3.792185,0.168040,4.465797,-3.576835
-0.675443,-4.546854,4.653464,-0.422438,3.891980,0.184134,4.480693,-3.339518
-0.697732,-4.635824,4.587170,-0.409221,3.991774,0.200446,4.496884,-3.113379
-0.718343,-4.724495,4.524962,-0.396025,4.091568,0.216910,4.514382,-2.893600
-0.737176,-4.812875,4.466803,-0.382859,4.191363,0.233498,4.533198,-2.681987
-0.754129,-4.900944,4.412624,-0.369736,4.291157,0.250069,4.553346,-2.480110
-0.769100,-4.988672,4.362317,-0.356667,4.390951,0.266476,4.574791,-2.287618
-0.781991,-5.076032,4.315761,-0.343666,4.490746,0.282631,4.597552,-2.103207
-0.792705,-5.162991,4.272849,-0.330748,4.590540,0.298479,4.621654,-1.927393
-0.801146,-5.249488,4.233465,-0.317935,4.690335,0.313950,4.647109,-1.760377
-0.807225,-5.335471,4.197469,-0.305253,4.790129,0.328951,4.673960,-1.600715
-0.810851,-5.420893,4.164736,-0.292719,4.889923,0.343419,4.702222,-1.451338
-0.811942,-5.505660,4.135088,-0.280356,4.989718,0.357270,-1.551258,-1.308576
-0.810422,-5.589761,4.108384,-0.268184,5.089512,0.370441,-1.520022,-1.174751
-0.799275,-5.755522,4.063168,-0.245504,5.189306,0.394718,-1.452479,-0.923153
-0.789525,-5.837060,4.044468,-0.233850,5.289101,0.405862,-1.415777,-0.804487
-0.776957,-5.917259,4.028288,-0.222545,5.388895,0.416445,-1.376859,-0.687882
-0.761507,-5.995949,4.014571,-0.211706,5.488689,0.426468,-1.335892,-0.573980
-0.743133,-6.072894,4.003245,-0.201415,5.588484,0.435908,-1.293177,-0.463058
-0.721807,-6.147862,3.994219,-0.191743,5.688278,0.444735,-1.248903,-0.353515
-0.697497,-6.220656,3.987421,-0.182800,5.788072,0.452965,-1.203199,-0.246796
-0.670232,-6.290948,3.982751,-0.174721,5.887867,0.460569,-1.156296,-0.142939
-0.606908,-6.423072,3.979340,-0.161281,5.987661,0.473892,-1.059510,-0.034882
-0.570633,-6.485074,3.978710,-0.155503,6.087455,0.479591,-1.010002,-0.035602
-0.531372,-6.544178,3.978075,-0.150928,6.187250,0.484645,-0.959978,-0.036017
-0.488395,-6.601392,3.977427,-0.147476,6.287044,0.489039,-0.909643,-0.035952
-0.390554,-6.711633,3.976099,-0.142117,6.386839,0.495886,-0.809131,-0.035583
-0.336458,-6.763977,3.975426,-0.139584,6.486633,0.498333,-0.759452,-0.035599
-0.279362,-6.814097,3.974745,-0.137447,6.586427,0.500130,-0.710472,-0.035468
-0.219373,-6.861955,3.974060,-0.135626,6.686222,0.501271,-0.662416,-0.035481
-0.156836,-6.907315,3.973371,-0.134063,6.786016,0.501761,-0.615515,-0.035219
-0.024599,-6.990396,3.971986,-0.130850,6.885810,0.500780,-0.525927,-0.035195
0.044742,-7.027976,3.971287,-0.129151,6.985605,0.499267,-0.483282,-0.035182
0.116048,-7.062871,3.970584,-0.127627,7.085399,0.497096,-0.442147,-0.035170
0.189105,-7.095013,3.969877,-0.126263,7.185193,0.494174,-0.402108,-0.035157
0.263789,-7.124387,3.969166,-0.125043,7.284988,0.490441,-0.362828,-0.035145
0.339949,-7.150969,3.968452,-0.123949,7.384782,0.485967,-0.324227,-0.035132
0.496118,-7.195704,3.967013,-0.121352,7.484576,0.475131,-0.249249,0.006691
0.575851,-7.213847,3.967151,-0.120041,7.584371,0.468889,-0.212794,0.110618
0.656525,-7.229177,3.969440,-0.118843,7.684165,0.462189,-0.177035,0.212682
0.738005,-7.241701,3.973855,-0.117747,7.783959,0.455094,-0.141931,0.312376
0.820165,-7.251429,3.980353,-0.116744,7.883754,0.447671,-0.107455,0.409170
0.902923,-7.258380,3.988881,-0.115827,7.983548,0.440094,-0.073598,0.500803
1.069725,-7.264029,4.011596,-0.113857,8.083343,0.424802,-0.007659,0.666412
1.153588,-7.262775,4.025505,-0.112743,8.183137,0.417526,0.024460,0.734612
1.237621,-7.258843,4.040828,-0.111716,8.282931,0.410608,0.056044,0.792568
1.321760,-7.252260,4.057348,-0.110770,8.382726,0.404066,0.087136,0.840831
1.405884,-7.243064,4.074847,-0.109901,8.482520,0.397903,0.117757,0.880223
1.489966,-7.231284,4.093146,-0.109104,8.582314,0.392186,0.147959,0.910170
1.573915,-7.216962,4.112040,-0.108378,8.682109,0.386923,0.177770,0.931172
1.657655,-7.200142,4.131336,-0.107715,8.781903,0.382148,0.207222,0.943160
1.824224,-7.159179,4.170378,-0.106143,8.881697,0.374066,0.265228,0.941981
1.906857,-7.135141,4.189771,-0.105409,8.981492,0.370716,0.293866,0.930446
1.988901,-7.108798,4.208864,-0.104795,9.081286,0.367678,0.322305,0.914916
2.070264,-7.080192,4.227570,-0.104311,9.181080,0.364843,0.350577,0.897682
2.150819,-7.049374,4.245845,-0.103969,9.280875,0.362143,0.378731,0.880105
2.230534,-7.016353,4.263693,-0.103783,9.380669,0.359542,0.406789,0.862806
2.309221,-6.981206,4.281097,-0.103771,9.480463,0.357034,0.434808,0.845922
2.386926,-6.943910,4.298094,-0.103948,9.580258,0.354567,0.462822,0.830318
2.538866,-6.863087,4.330932,-0.104561,9.680052,0.349712,0.519021,0.803469
2.612992,-6.819591,4.346848,-0.105125,9.779847,0.347271,0.547283,0.793016
2.685699,-6.774130,4.362463,-0.105961,9.879641,0.344801,0.575719,0.784815
2.757085,-6.726632,4.377862,-0.107085,9.979435,0.342277,0.604357,0.779117
2.826989,-6.677191,4.393073,-0.108508,10.079230,0.339693,0.633234,0.775946
2.895331,-6.625850,4.408145,-0.110248,10.179024,0.337029,0.662371,0.775596
2.962081,-6.572607,4.423142,-0.112326,10.278818,0.334283,0.691807,0.777882
3.027060,-6.517585,4.438091,-0.114767,10.378613,0.331458,0.721563,0.782696
3.151696,-6.402132,4.468094,-0.120325,10.478407,0.325553,0.781799,0.799579
3.211149,-6.341835,4.483221,-0.123673,10.578201,0.322466,0.812191,0.811605
3.268624,-6.279854,4.498498,-0.127491,10.677996,0.319286,0.842672,0.825970
3.323977,-6.216315,4.513944,-0.131804,10.777790,0.316002,0.873188,0.842878
3.377203,-6.151192,4.529622,-0.136649,10.877584,0.312610,0.903652,0.862267
3.428198,-6.084576,4.545564,-0.142057,10.977379,0.309093,0.934036,0.884481
3.476962,-6.016442,4.561838,-0.148061,11.077173,0.305448,0.964259,0.909490
3.523446,-5.946839,4.578494,-0.154718,11.176967,0.301667,0.994258,0.937345
3.609981,-5.802665,4.613358,-0.169402,11.276762,0.293663,1.053325,1.001576
3.650143,-5.728080,4.631713,-0.177874,11.376556,0.289420,1.082270,1.038176
3.688263,-5.651907,4.650766,-0.187011,11.476351,0.285016,1.110732,1.077752
3.724354,-5.574235,4.670571,-0.196768,11.576145,0.280435,1.138655,1.120658
3.758425,-5.495173,4.691182,-0.207101,11.675939,0.275668,1.165985,1.167185
3.790492,-5.414809,4.712661,-0.217968,11.775734,0.270720,1.192647,1.217254
3.820577,-5.333228,4.735067,-0.229329,11.875528,0.265573,1.218606,1.271373
3.848704,-5.250514,4.758467,-0.241144,11.975322,0.260242,1.243796,1.329243
3.874899,-5.166749,4.782921,-0.253376,12.075117,0.254716,1.268190,1.391263
3.899197,-5.081991,4.808500,-0.265989,12.174911,0.248997,1.291751,1.457522
3.921627,-4.996323,4.835268,-0.278948,12.274705,0.243085,1.314491,1.528204
3.942228,-4.909797,4.863298,-0.292219,12.374500,0.236973,1.336456,1.603694
3.961037,-4.822476,4.892664,-0.305769,12.474294,0.230696,1.357654,1.683274
3.978096,-4.734420,4.923425,-0.319566,12.574088,0.224259,1.378109,1.767087
3.993448,-4.645667,4.955648,-0.333580,12.673883,0.217688,1.397841,1.854696
4.007135,-4.556279,4.989377,-0.347778,12.773677,0.211014,1.416861,1.945635
4.019205,-4.466291,5.024658,-0.362133,12.873471,0.204250,1.435186,2.029443
4.029707,-4.375735,5.061344,-0.376618,12.973266,0.197428,1.452827,2.111678
4.038689,-4.284651,5.099388,-0.391205,13.073060,0.190560,1.469797,2.197243
4.046202,-4.193089,5.138820,-0.405864,13.172854,0.183676,1.486108,2.285608
4.052292,-4.101095,5.179664,-0.420572,13.272649,0.176795,1.501771,2.376533
4.057005,-4.008704,5.221938,-0.435302,13.372443,0.169947,1.516794,2.469494
4.060387,-3.915964,5.265641,-0.450025,13.472238,0.163166,1.531190,2.563779
4.062481,-3.822896,5.310773,-0.464718,13.572032,0.156461,1.544965,2.659490
4.063333,-3.729530,5.357326,-0.479358,13.671826,0.149853,1.558131,2.756237
4.062988,-3.635871,5.405297,-0.493920,13.771621,0.143354,1.570698,2.853883
4.061493,-3.541943,5.454670,-0.508381,13.871415,0.136976,1.582676,2.952361
4.058892,-3.447758,5.505431,-0.522718,13.971209,0.130733,1.594085,3.051383
4.055234,-3.353322,5.557565,-0.536908,14.071004,0.124633,1.604944,3.150954
4.050567,-3.258657,5.611044,-0.550928,14.170798,0.118686,1.615272,3.250826
4.044936,-3.163761,5.665853,-0.564755,14.270592,0.112899,1.625089,3.350966
4.038391,-3.068645,5.721963,-0.578366,14.370387,0.107278,1.634412,3.451212
4.030980,-2.973314,5.779347,-0.591739,14.470181,0.101823,1.643257,3.551719
4.022752,-2.877769,5.837985,-0.604850,14.569975,0.096526,1.651638,3.652893
4.013756,-2.782029,5.897847,-0.617675,14.669770,0.091390,1.659567,3.754759
4.004040,-2.686099,5.958916,-0.630195,14.769564,0.086412,1.667057,3.857445
3.993650,-2.589997,6.021164,-0.642390,14.869358,0.081593,1.674122,3.961009
3.982632,-2.493789,6.084534,-0.654242,14.969153,0.076935,1.680774,4.065482
3.971017,-2.397483,6.149008,-0.665751,15.068947,0.072438,1.687024,4.170785
3.958836,-2.301091,6.214560,-0.676917,15.168742,0.068103,1.692886,4.276842
3.946118,-2.204622,6.281166,-0.687742,15.268536,0.063933,1.698370,4.383528
3.932889,-2.108076,6.348810,-0.698230,15.368330,0.059925,1.703488,4.490737
3.919177,-2.011451,6.417470,-0.708385,15.468125,0.056082,1.708251,4.598270
3.905008,-1.914744,6.487124,-0.718213,15.567919,0.052404,1.712671,4.705885
3.890410,-1.817953,6.557748,-0.727716,15.667713,0.048891,1.716758,4.813409
3.875409,-1.721075,6.629313,-0.736898,15.767508,0.045544,1.720524,4.920534
3.860035,-1.624107,6.701790,-0.745764,15.867302,0.042361,1.723976,5.026953
3.844313,-1.527044,6.775143,-0.754315,15.967096,0.039345,1.727122,5.132302
3.828272,-1.429883,6.849335,-0.762556,16.066891,0.036494,1.729966,5.236151
3.811941,-1.332619,6.924321,-0.770489,16.166685,0.033808,1.732508,5.334188
