# s_m, x_opt_m, y_opt_m, d_opt_m, x_left_m, y_left_m, d_left_m, x_right_m, y_right_m, d_right_m, v_opt_mps, v_left_mps, v_right_mps, kappa_opt_radpm, kappa_left_radpm, kappa_right_radpm, psi_opt_rad, psi_left_rad, psi_right_rad, ax_opt_mps2, ax_left_mps2, ax_right_mps2
0.000000,-0.546381,-0.609230,0.000000,-0.695769,-0.612662,0.148878,0.300798,-0.529879,-0.850787,4.829559,5.179769,5.954845,-0.271850,-0.270186,-0.193168,-1.462034,-1.477670,-1.468196,0.788489,-0.059853,-0.078549
0.099794,-0.536879,-0.708547,0.000000,-0.690217,-0.696113,0.151800,0.308519,-0.645856,-0.847691,4.845825,5.178802,5.953312,-0.260775,-0.267299,-0.191571,-1.488608,-1.508878,-1.496548,1.025530,-0.059830,-0.078531
0.199589,-0.529962,-0.808100,0.000000,-0.687302,-0.780402,0.155517,0.312514,-0.761261,-0.843777,4.866899,5.177828,5.951788,-0.249464,-0.263644,-0.189541,-1.514069,-1.539341,-1.524548,1.257637,-0.059808,-0.078526
0.299383,-0.525526,-0.907781,0.000000,-0.686949,-0.865457,0.159966,0.312995,-0.876016,-0.839111,4.892618,5.176845,5.950274,-0.237345,-0.259220,-0.187075,-1.538374,-1.568881,-1.552086,1.502895,-0.059785,-0.078492
0.399177,-0.523452,-1.007539,0.000000,-0.693619,-1.037461,0.170441,0.304208,-1.103350,-0.826725,4.923177,5.175225,5.947273,-0.224722,-0.248093,-0.180806,-1.561424,4.658686,4.677779,1.755054,0.151381,-0.078440
0.498972,-0.523615,-1.107376,0.000000,-0.700482,-1.124224,0.176643,0.295319,-1.215773,-0.820220,4.958625,5.177770,5.945785,-0.212399,-0.241398,-0.176988,4.699943,4.632872,4.652207,1.994201,0.351230,-0.078382
0.598766,-0.525895,-1.207100,0.000000,-0.709587,-1.211426,0.183448,0.283673,-1.327334,-0.813102,4.998598,5.183714,5.944306,-0.201302,-0.233953,-0.172698,4.679309,4.608529,4.627503,2.196575,0.561816,-0.078454
0.698560,-0.530179,-1.306812,0.000000,-0.720850,-1.299000,0.190818,0.269448,-1.437960,-0.805418,5.042261,5.193274,5.942834,-0.190200,-0.225759,-0.167936,4.659772,4.585503,4.603797,2.383183,0.783677,0.087814
0.798355,-0.536355,-1.406415,0.000000,-0.734185,-1.386924,0.198714,0.252822,-1.547601,-0.797208,5.089209,5.206677,5.944472,-0.178908,-0.216786,-0.162690,4.641349,4.563743,4.581210,2.578176,1.018649,0.326229
0.898149,-0.544306,-1.505878,0.000000,-0.749504,-1.475192,0.207105,0.233966,-1.656264,-0.788504,5.139516,5.224175,5.950522,-0.167509,-0.207090,-0.156997,4.624068,4.543225,4.559920,2.781444,1.266088,0.569570
0.997944,-0.553925,-1.605248,0.000000,-0.766703,-1.563706,0.215950,0.213058,-1.763879,-0.779344,5.193243,5.245982,5.961006,-0.156285,-0.196734,-0.150878,4.607906,4.523941,4.539931,2.985963,1.525629,0.818571
1.097738,-0.565086,-1.704391,0.000000,-0.785699,-1.652491,0.225228,0.190243,-1.870522,-0.769751,5.250308,5.272321,5.975963,-0.145685,-0.185783,-0.144344,4.592844,4.505872,4.521199,3.178676,1.797050,1.074657
1.197532,-0.577691,-1.803393,0.000000,-0.806395,-1.741512,0.234908,0.165687,-1.976151,-0.759763,5.310382,5.303380,5.995433,-0.135169,-0.174309,-0.137410,4.578829,4.489004,4.503711,3.378632,2.080470,1.339201
1.297327,-0.591631,-1.902218,0.000000,-0.828703,-1.830787,0.244961,0.139554,-2.080745,-0.749415,5.373500,5.339357,6.019466,-0.124811,-0.162374,-0.130079,4.565859,4.473332,4.487448,3.584762,2.376499,1.614358
1.397121,-0.606799,-2.000848,0.000000,-0.852529,-1.920344,0.255355,0.111994,-2.184345,-0.738744,5.439667,5.380447,6.048149,-0.114612,-0.150056,-0.122362,4.553913,4.458853,4.472392,3.798397,2.685505,1.902120
1.496915,-0.623096,-2.099315,0.000000,-0.877754,-2.010118,0.266051,0.083167,-2.286941,-0.727786,5.508910,5.426790,6.081571,-0.104480,-0.137428,-0.114264,4.542980,4.445557,4.458537,4.024472,3.008530,2.205021
1.596710,-0.640418,-2.197604,0.000000,-0.904290,-2.100132,0.277024,0.053195,-2.388618,-0.716559,5.581338,5.478569,6.119885,-0.093768,-0.124562,-0.105789,4.533086,4.433437,4.445875,4.289863,3.346706,2.525904
1.696504,-0.658658,-2.295718,0.000000,-0.932034,-2.190381,0.288252,0.022217,-2.489389,-0.705082,5.657521,5.535945,6.163244,-0.083076,-0.111565,-0.096943,4.524262,4.422488,4.434398,4.574643,3.700108,2.868035
1.796298,-0.677713,-2.393689,0.000000,-0.960886,-2.280857,0.299720,-0.009644,-2.589301,-0.693366,5.737647,5.599058,6.211853,-0.072841,-0.098487,-0.087721,4.516494,4.412701,4.424104,4.863200,4.071223,3.235552
1.896093,-0.697481,-2.491527,0.000000,-0.990759,-2.371590,0.311417,-0.042271,-2.688403,-0.681429,5.821617,5.668091,6.265961,-0.063197,-0.085380,-0.078127,4.509704,4.404079,4.414987,5.151082,4.462691,3.632811
1.995887,-0.717855,-2.589182,0.000000,-1.021558,-2.462604,0.323327,-0.075530,-2.786689,-0.669296,5.909258,5.743243,6.325833,-0.053568,-0.072286,-0.068146,4.503880,4.396616,4.407041,5.465171,4.877772,4.066046
2.095681,-0.738770,-2.686817,0.000000,-1.053193,-2.553949,0.335430,-0.109294,-2.884183,-0.656994,6.000843,5.824765,6.391807,-0.044030,-0.059249,-0.057786,4.499008,4.390309,4.400264,5.805344,5.320129,-3.033379
2.195476,-0.760099,-2.784294,0.000000,-1.085564,-2.645656,0.347700,-0.143444,-2.980933,-0.644547,6.096621,5.912925,6.342929,-0.034477,-0.046317,-0.047071,4.495091,4.385156,4.394651,6.180478,5.793749,-5.365908
2.295270,-0.781765,-2.881703,0.000000,-1.118562,-2.737737,0.360114,-0.177865,-3.076986,-0.631975,6.196963,6.008004,6.256016,-0.024592,-0.033517,-0.036010,4.492134,4.381150,4.390204,6.612421,6.304220,-6.081485
2.395064,-0.803680,-2.979106,0.000000,-1.152082,-2.830209,0.372650,-0.212440,-3.172367,-0.619294,6.302548,6.110342,6.156602,-0.014200,-0.020884,-0.024615,4.490197,4.378295,4.386925,-6.591444,6.857613,-6.759800
2.494859,-0.825707,-3.076363,0.000000,-1.186044,-2.923164,0.385301,-0.247071,-3.267155,-0.606508,6.197301,6.220418,6.044783,-0.003754,-0.008437,-0.012899,4.489302,4.376593,4.384810,-7.742619,7.461806,-7.402978
2.594653,-0.847805,-3.173765,0.000000,-1.220325,-3.016597,0.398049,-0.281622,-3.361325,-0.593640,6.071342,6.338678,5.920662,0.006828,0.003867,-0.000870,4.489454,4.376053,4.383861,-7.259760,-6.193052,-7.535932
2.694448,-0.869814,-3.271082,0.000000,-1.254828,-3.110578,0.410885,-0.315995,-3.454949,-0.580697,5.950817,6.240097,5.792327,0.017493,0.016049,0.011459,4.490667,4.376682,4.384079,-6.822206,-6.677181,-7.049056
2.794242,-0.891654,-3.368439,0.000000,-1.289443,-3.205141,0.423797,-0.350081,-3.548070,-0.567688,5.835289,6.131397,5.670365,0.028373,0.028139,0.024077,4.492950,4.378492,4.385469,-6.420915,-6.165117,-6.617832
2.894036,-0.913233,-3.465928,0.000000,-1.324040,-3.300281,0.436767,-0.383759,-3.640681,-0.554626,5.724426,6.028746,5.554163,0.039551,0.040146,0.036978,4.496341,4.381493,4.388040,-6.059885,-5.692137,-6.212022
2.993831,-0.934394,-3.563351,0.000000,-1.358544,-3.396140,0.449804,-0.416958,-3.732912,-0.541504,5.617790,5.931775,5.443426,0.050823,0.052095,0.050180,4.500845,4.385692,4.391799,-5.739817,-5.271586,-5.851078
3.093625,-0.955102,-3.661073,0.000000,-1.392804,-3.492662,0.462888,-0.449538,-3.824699,-0.528339,5.514886,5.840043,5.337707,0.062050,0.064009,0.063644,4.506482,4.391100,4.396758,-5.451649,-4.885943,-5.513531
3.193419,-0.975180,-3.758799,0.000000,-1.426719,-3.589942,0.476021,-0.481410,-3.916119,-0.515134,5.415337,5.753206,5.236747,0.073360,0.075904,0.077469,4.513236,4.397725,4.402924,-5.188933,-4.527312,-5.196736
3.293214,-0.994542,-3.856674,0.000000,-1.460173,-3.688046,0.489196,-0.512464,-4.007181,-0.501899,5.318856,5.671055,5.140384,0.084847,0.087807,0.091712,4.521125,4.405581,4.410304,-4.949548,-4.201192,-4.908122
3.393008,-1.013086,-3.954773,0.000000,-1.493017,-3.786964,0.502393,-0.542573,-4.097863,-0.488652,5.225165,5.593307,5.048327,0.096507,0.099738,0.106347,4.530178,4.414680,4.418909,-4.736059,-3.889266,-4.619346
3.492802,-1.030660,-4.052905,0.000000,-1.525150,-3.886844,0.515616,-0.571662,-4.188274,-0.475395,5.133915,5.519869,4.960661,0.108198,0.111678,0.121322,4.540381,4.425034,4.428750,-4.502291,-3.602191,-4.341757
3.592597,-1.047201,-4.151397,0.000000,-1.556402,-3.987630,0.528832,-0.599592,-4.278342,-0.462146,5.045640,5.450573,4.877429,0.121371,0.123622,0.136609,4.551842,4.436654,4.439838,-4.279268,-3.332634,-4.075150
3.692391,-1.062531,-4.249977,0.000000,-1.586641,-4.089401,0.542041,-0.626270,-4.368126,-0.448902,4.960281,5.385267,4.798533,0.134652,0.135500,0.152193,4.564612,4.449553,4.452182,-4.058371,-3.081786,-3.819174
3.792185,-1.076538,-4.348773,0.000000,-1.615718,-4.192195,0.555238,-0.651592,-4.457638,-0.435664,4.877948,5.323783,4.723914,0.148180,0.147200,0.168040,4.578718,4.463741,4.465797,-3.849384,-2.852668,-3.576835
3.891980,-1.089085,-4.447793,0.000000,-1.643468,-4.295999,0.568414,-0.675443,-4.546854,-0.422438,4.798551,5.265893,4.653464,0.161975,0.158686,0.184134,4.594196,4.479237,4.480693,-3.657542,-2.637629,-3.339518
3.991774,-1.100023,-4.546924,0.000000,-1.669746,-4.400901,0.581574,-0.697732,-4.635824,-0.409221,4.721873,5.211444,4.587170,0.175794,0.169929,0.200446,4.611040,4.496052,4.496884,-3.480079,-2.440335,-3.113379
4.091568,-1.109228,-4.646330,0.000000,-1.694375,-4.506870,0.594704,-0.718343,-4.724495,-0.396025,4.647741,5.160249,4.524962,0.189694,0.180897,0.216910,4.629283,4.514193,4.514382,-3.318393,-2.257543,-2.893600
4.191363,-1.116546,-4.745833,0.000000,-1.717187,-4.613932,0.607799,-0.737176,-4.812875,-0.382859,4.575935,5.112135,4.466803,0.203570,0.191570,0.233498,4.648902,4.533675,4.533198,-3.160329,-2.088620,-2.681987
4.291157,-1.121842,-4.845477,0.000000,-1.738006,-4.722098,0.620847,-0.754129,-4.900944,-0.369736,4.506486,5.066931,4.412624,0.217891,0.201909,0.250069,4.669920,4.554498,4.553346,-3.006397,-1.931989,-2.480110
4.390951,-1.124970,-4.945221,0.000000,-1.756648,-4.831353,0.633828,-0.769100,-4.988672,-0.356667,4.439412,5.024493,4.362317,0.232610,0.211935,0.266476,4.692399,4.576671,4.574791,-2.863783,-1.779572,-2.287618
4.490746,-1.125782,-5.044993,0.000000,-1.772924,-4.941679,0.646728,-0.781991,-5.076032,-0.343666,4.374563,4.984838,4.315761,0.247376,0.221625,0.282631,-1.566842,4.600194,4.597552,-2.728963,-1.623825,-2.103207
4.590540,-1.124132,-5.144756,0.000000,-1.786644,-5.053060,0.659532,-0.792705,-5.162991,-0.330748,4.311859,4.948147,4.272849,0.262312,0.231026,0.298479,-1.541413,4.625091,4.621654,-2.607517,-1.473696,-1.927393
4.690335,-1.119869,-5.244463,0.000000,-1.797608,-5.165437,0.672217,-0.801146,-5.249488,-0.317935,4.251082,4.914404,4.233465,0.277118,0.240194,0.313950,-1.514493,4.651445,4.647109,-2.472989,-1.328550,-1.760377
4.790129,-1.112854,-5.343980,0.000000,-1.805616,-5.278778,0.684760,-0.807225,-5.335471,-0.305253,4.192626,4.883590,4.197469,0.293053,0.249089,0.328951,-1.486071,4.679282,4.673960,-2.332610,-1.186461,-1.600715
4.889923,-1.102929,-5.443274,0.000000,-1.810463,-5.393044,0.697123,-0.810851,-5.420893,-0.292719,4.136732,4.855725,4.164736,0.309726,0.257684,0.343419,-1.455996,4.708675,4.702222,-2.213634,-1.050293,-1.451338
4.989718,-1.089937,-5.542237,0.000000,-1.811939,-5.508051,0.709272,-0.811942,-5.505660,-0.280356,4.082981,4.830783,4.135088,0.325683,0.265953,0.357270,-1.424254,-1.543486,-1.551258,-2.141694,-0.917015,-1.308576
5.089512,-1.073746,-5.640673,0.000000,-1.809843,-5.623771,0.721220,-0.810422,-5.589761,-0.268184,4.030295,4.808762,4.108384,0.339523,0.273856,0.370441,-1.391076,-1.510771,-1.520022,-2.071420,-0.787525,-1.174751
5.189306,-1.054218,-5.738568,0.000000,-1.794146,-5.856677,0.748119,-0.799275,-5.755522,-0.245504,3.978674,4.773435,4.063168,0.353705,0.288458,0.394718,-1.356476,-1.439892,-1.452479,-1.987847,-0.541688,-0.923153
5.289101,-1.031272,-5.835603,0.000000,-1.780158,-5.973606,0.759730,-0.789525,-5.837060,-0.233850,3.928498,4.760053,4.044468,0.369057,0.295084,0.405862,-1.320449,-1.401728,-1.415777,-1.914941,-0.426139,-0.804487
5.388895,-1.004751,-5.931799,0.000000,-1.761798,-6.090719,0.771010,-0.776957,-5.917259,-0.222545,3.879548,4.749429,4.028288,0.384182,0.301199,0.416445,-1.282860,-1.361777,-1.376859,-1.794677,-0.313707,-0.687882
5.488689,-0.974555,-6.026927,0.000000,-1.738732,-6.208155,0.781889,-0.761507,-5.995949,-0.211706,3.833105,4.741517,4.014571,0.402464,0.306769,0.426468,-1.243726,-1.320276,-1.335892,-1.544135,-0.204892,-0.573980
5.588484,-0.940595,-6.120667,0.000000,-1.710686,-6.325565,0.792200,-0.743133,-6.072894,-0.201415,3.792691,4.736298,4.003245,0.428692,0.311848,0.435908,-1.202295,-1.277681,-1.293177,-1.276198,-0.097566,-0.463058
5.688278,-0.902574,-6.213068,0.000000,-1.677329,-6.442783,0.801845,-0.721807,-6.147862,-0.191743,3.758961,4.733787,3.994219,0.455413,0.316466,0.444735,-1.158123,-1.234123,-1.248903,-0.978150,-0.050476,-0.353515
5.788072,-0.860473,-6.303473,0.000000,-1.638301,-6.559608,0.810749,-0.697497,-6.220656,-0.182800,3.732903,4.732473,3.987421,0.482962,0.320644,0.452965,-1.111349,-1.189702,-1.203199,-0.613442,-0.050506,-0.246796
5.887867,-0.814023,-6.391820,0.000000,-1.593285,-6.675620,0.818755,-0.670232,-6.290948,-0.174721,3.716467,4.731145,3.982751,0.512971,0.324406,0.460569,-1.061658,-1.144552,-1.156296,-0.264961,-0.050464,-0.142939
5.987661,-0.763097,-6.477698,0.000000,-1.483800,-6.903758,0.836895,-0.606908,-6.423072,-0.161281,3.709345,4.728452,3.979340,0.539379,0.330704,0.473892,-1.008961,-1.052388,-1.059510,-0.030681,-0.050126,-0.034882
6.087455,-0.707655,-6.560670,0.000000,-1.419138,-7.014261,0.842757,-0.570633,-6.485074,-0.155503,3.708520,4.727094,3.978710,0.559371,0.333264,0.479591,-0.954155,-1.005600,-1.010002,-0.030667,-0.049693,-0.035602
6.187250,-0.647674,-6.640408,0.000000,-1.347892,-7.121495,0.847383,-0.531372,-6.544178,-0.150928,3.707695,4.725741,3.978075,0.581945,0.335443,0.484645,-0.897227,-0.958468,-0.959978,-0.030653,-0.049136,-0.036017
6.287044,-0.583221,-6.716528,0.000000,-1.270783,-7.224183,0.850774,-0.488395,-6.601392,-0.147476,3.706869,4.724405,3.977427,0.576224,0.337247,0.489039,-0.839308,-0.911058,-0.909643,-0.030640,-0.049258,-0.035952
6.386839,-0.514476,-6.788843,0.000000,-1.103552,-7.412800,0.857817,-0.390554,-6.711633,-0.142117,3.706044,4.721772,3.976099,0.567367,0.339686,0.495886,-0.782252,-0.815910,-0.809131,-0.030640,-0.049350,-0.035583
6.486633,-0.441750,-6.857153,0.000000,-1.014027,-7.499436,0.860248,-0.336458,-6.763977,-0.139584,3.705219,4.720469,3.975426,0.555765,0.340316,0.498333,-0.726122,-0.768392,-0.759452,-0.012327,-0.049484,-0.035599
6.586427,-0.365368,-6.921313,0.000000,-0.921082,-7.581036,0.862232,-0.279362,-6.814097,-0.137447,3.704887,4.719173,3.974745,0.541173,0.340535,0.500130,-0.671424,-0.721099,-0.710472,0.198804,-0.049379,-0.035468
6.686222,-0.285555,-6.981312,0.000000,-0.824785,-7.657867,0.863853,-0.219373,-6.861955,-0.135626,3.710238,4.717884,3.974060,0.529075,0.340344,0.501271,-0.618007,-0.674154,-0.662416,0.347794,-0.049417,-0.035481
6.786016,-0.202771,-7.036963,0.000000,-0.725620,-7.729802,0.865174,-0.156836,-6.907315,-0.134063,3.719581,4.716600,3.973371,0.513784,0.339720,0.501761,-0.565976,-0.627714,-0.615515,0.526050,-0.049384,-0.035219
6.885810,-0.117207,-7.088321,0.000000,-0.519553,-7.859314,0.869147,-0.024599,-6.990396,-0.130850,3.733668,4.714052,3.971986,0.499262,0.337177,0.500780,-0.515434,-0.537267,-0.525927,0.674571,-0.049373,-0.035195
6.985605,-0.029189,-7.135353,0.000000,-0.413261,-7.916927,0.870805,0.044742,-7.027976,-0.129151,3.751655,4.712785,3.971287,0.485160,0.335296,0.499267,-0.466289,-0.493640,-0.483282,0.803401,-0.049320,-0.035182
7.085399,0.060980,-7.178059,0.000000,-0.305048,-7.969887,0.872244,0.116048,-7.062871,-0.127627,3.772965,4.711524,3.970584,0.470715,0.333101,0.497096,-0.418610,-0.451334,-0.442147,0.927339,-0.049326,-0.035170
7.185193,0.153097,-7.216501,0.000000,-0.195220,-8.018211,0.873491,0.189105,-7.095013,-0.126263,3.797414,4.710268,3.969877,0.457566,0.330680,0.494174,-0.372288,-0.410153,-0.402108,1.023468,-0.049296,-0.035157
7.284988,0.246830,-7.250680,0.000000,-0.083938,-8.061983,0.874568,0.263789,-7.124387,-0.125043,3.824215,4.709016,3.969166,0.445533,0.328082,0.490441,-0.327240,-0.369949,-0.362828,1.097737,-0.049274,-0.035145
7.384782,0.342011,-7.280666,0.000000,0.028572,-8.101256,0.875496,0.339949,-7.150969,-0.123949,3.852755,4.707769,3.968452,0.434384,0.325341,0.485967,-0.283340,-0.330669,-0.324227,1.156012,-0.049301,-0.035132
