# x_m, y_m, v_mps
5.245,5.259,5.860
5.114,5.267,5.858
4.984,5.270,5.856
4.856,5.267,5.855
4.730,5.258,5.853
4.607,5.245,5.851
4.485,5.228,5.850
4.365,5.206,5.848
4.247,5.182,5.847
4.131,5.153,5.847
4.017,5.122,5.855
3.905,5.088,5.869
3.794,5.051,5.891
3.686,5.012,5.918
3.580,4.971,5.952
3.476,4.929,5.991
3.373,4.885,6.036
3.273,4.840,6.086
3.174,4.793,6.142
3.076,4.746,6.204
2.980,4.698,6.273
2.886,4.649,6.347
2.793,4.601,6.429
2.702,4.552,6.512
2.611,4.503,6.594
2.522,4.454,6.673
2.434,4.406,6.751
2.347,4.358,6.827
2.261,4.311,6.781
2.175,4.265,6.684
2.091,4.220,6.599
2.007,4.176,6.524
1.923,4.132,6.461
1.841,4.091,6.409
1.758,4.050,6.367
1.677,4.012,6.336
1.595,3.975,6.316
1.514,3.939,6.305
1.434,3.906,6.304
1.354,3.875,6.303
1.274,3.845,6.302
1.195,3.818,6.301
1.116,3.794,6.300
1.037,3.771,6.298
0.959,3.752,6.297
0.882,3.734,6.296
0.805,3.720,6.295
0.730,3.708,6.294
0.655,3.700,6.293
0.581,3.694,6.292
0.508,3.691,6.291
0.435,3.691,6.290
0.363,3.694,6.289
0.289,3.701,6.288
0.214,3.710,6.287
0.139,3.722,6.286
0.062,3.737,6.285
-0.015,3.754,6.284
-0.094,3.774,6.283
-0.172,3.797,6.281
-0.252,3.822,6.280
-0.332,3.850,6.279
-0.412,3.880,6.278
-0.493,3.911,6.283
-0.574,3.945,6.299
-0.656,3.981,6.327
-0.739,4.018,6.365
-0.822,4.057,6.414
-0.906,4.097,6.476
-0.990,4.138,6.549
-1.076,4.181,6.625
-1.162,4.225,6.700
-1.249,4.270,6.776
-1.338,4.315,6.713
-1.427,4.361,6.601
-1.518,4.408,6.498
-1.610,4.454,6.404
-1.704,4.501,6.318
-1.799,4.547,6.240
-1.896,4.593,6.169
-1.995,4.639,6.106
-2.095,4.683,6.049
-2.198,4.726,5.998
-2.302,4.768,5.954
-2.409,4.808,5.917
-2.518,4.847,5.886
-2.629,4.883,5.863
-2.743,4.916,5.846
-2.858,4.946,5.838
-2.976,4.973,5.836
-3.096,4.997,5.835
-3.218,5.016,5.833
-3.343,5.031,5.831
-3.469,5.041,5.830
-3.597,5.046,5.828
-3.727,5.045,5.826
-3.858,5.038,5.825
-3.991,5.025,5.823
-4.124,5.004,5.821
-4.258,4.975,5.819
-4.391,4.939,5.817
-4.525,4.894,5.816
-4.657,4.839,5.814
-4.785,4.776,5.812
-4.908,4.706,5.810
-5.025,4.628,5.808
-5.136,4.545,5.807
-5.241,4.456,5.805
-5.340,4.363,5.803
-5.433,4.264,5.801
-5.520,4.162,5.800
-5.601,4.056,5.798
-5.676,3.947,5.796
-5.745,3.836,5.794
-5.808,3.722,5.793
-5.866,3.606,5.791
-5.918,3.489,5.789
-5.965,3.369,5.788
-6.007,3.249,5.786
-6.043,3.127,5.785
-6.074,3.005,5.783
-6.100,2.882,5.781
-6.122,2.759,5.780
-6.138,2.636,5.778
-6.150,2.513,5.777
-6.158,2.389,5.775
-6.161,2.267,5.773
-6.160,2.145,5.772
-6.154,2.023,5.770
-6.145,1.902,5.769
-6.132,1.781,5.767
-6.115,1.661,5.766
-6.094,1.542,5.764
-6.069,1.423,5.762
-6.040,1.305,5.761
-6.008,1.188,5.759
-5.971,1.072,5.758
-5.931,0.958,5.756
