# x_m, y_m, v_mps
5.126,3.944,4.535
5.059,3.948,4.545
4.989,3.950,4.559
4.917,3.948,4.577
4.844,3.943,4.598
4.769,3.935,4.624
4.694,3.924,4.653
4.617,3.911,4.685
4.540,3.895,4.722
4.462,3.876,4.763
4.384,3.854,4.808
4.305,3.830,4.857
4.226,3.804,4.911
4.147,3.775,4.971
4.067,3.744,5.035
3.986,3.712,5.105
3.905,3.677,5.180
3.824,3.640,5.261
3.743,3.602,5.348
3.660,3.562,5.437
3.578,3.521,5.525
3.495,3.478,5.613
3.411,3.434,5.700
3.327,3.389,5.788
3.241,3.343,5.874
3.155,3.296,5.961
3.068,3.249,6.047
2.981,3.200,6.133
2.892,3.152,6.218
2.802,3.103,6.303
2.711,3.054,6.388
2.618,3.006,6.473
2.524,2.957,6.558
2.429,2.909,6.642
2.332,2.861,6.713
2.233,2.815,6.771
2.133,2.769,6.817
2.031,2.725,6.852
1.928,2.682,6.876
1.822,2.640,6.890
1.714,2.601,6.897
1.605,2.564,6.896
1.493,2.529,6.894
1.380,2.497,6.892
1.264,2.467,6.890
1.147,2.441,6.889
1.028,2.419,6.887
0.906,2.400,6.885
0.783,2.386,6.883
0.658,2.376,6.881
0.532,2.371,6.879
0.405,2.372,6.877
0.278,2.377,6.875
0.153,2.388,6.873
0.030,2.403,6.871
-0.091,2.422,6.869
-0.211,2.445,6.868
-0.328,2.472,6.866
-0.443,2.501,6.864
-0.556,2.534,6.862
-0.666,2.569,6.865
-0.775,2.607,6.874
-0.882,2.646,6.889
-0.987,2.687,6.912
-1.089,2.730,6.920
-1.191,2.773,6.880
-1.290,2.818,6.828
-1.387,2.864,6.762
-1.483,2.910,6.683
-1.578,2.956,6.590
-1.671,3.003,6.481
-1.762,3.049,6.357
-1.853,3.096,6.217
-1.942,3.142,6.070
-2.030,3.187,5.931
-2.117,3.231,5.800
-2.202,3.275,5.676
-2.287,3.317,5.559
-2.371,3.358,5.449
-2.455,3.397,5.346
-2.537,3.435,5.250
-2.619,3.471,5.160
-2.700,3.506,5.076
-2.781,3.538,4.999
-2.861,3.568,4.928
-2.940,3.596,4.863
-3.019,3.621,4.803
-3.097,3.644,4.749
-3.174,3.665,4.700
-3.251,3.682,4.655
-3.326,3.697,4.616
-3.401,3.709,4.580
-3.475,3.718,4.549
-3.547,3.724,4.522
-3.618,3.726,4.499
-3.688,3.726,4.480
-3.756,3.722,4.465
-3.822,3.715,4.454
-3.886,3.705,4.447
-3.947,3.692,4.443
-4.006,3.676,4.443
-4.062,3.657,4.442
-4.114,3.636,4.442
-4.165,3.611,4.441
-4.215,3.582,4.441
-4.264,3.550,4.440
-4.313,3.513,4.439
-4.360,3.473,4.439
