# f5f753e7-72e3-47bf-b259-0262f70e9130
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1855492; 4.6013534; 1.4804486; 0.5033416; 4.4474715; 1.0418000
0.0997421; 5.0860421; 4.6079080; 1.5290662; 0.4717149; 4.4707746; 1.5502354
0.1994843; 4.9863161; 4.6097750; 1.5745787; 0.4410011; 4.5052273; 1.9961024
0.2992264; 4.8866258; 4.6072518; 1.6171569; 0.4129561; 4.5492048; 2.3374291
0.3989685; 4.7870982; 4.6006235; 1.6569805; 0.3856285; 4.6001679; 2.6518362
0.4987107; 4.6879220; 4.5901649; 1.6943988; 0.3648340; 4.6573108; 2.8196598
0.5984528; 4.5891710; 4.5761017; 1.7297760; 0.3445697; 4.7173109; 2.9836522
0.6981949; 4.4909798; 4.5586539; 1.7632269; 0.3262918; 4.7799805; 3.1116113
0.7979371; 4.3933918; 4.5380164; 1.7948787; 0.3084059; 4.8444743; 3.2432138
0.8976792; 4.2964979; 4.5143903; 1.8247556; 0.2907451; 4.9107943; 3.3831973
0.9974214; 4.2003183; 4.4879613; 1.8528869; 0.2733601; 4.9790356; 3.5308736
1.0971635; 4.1049033; 4.4589225; 1.8792889; 0.2560836; 5.0492722; 3.6913603
1.1969056; 4.0102545; 4.4274540; 1.9039780; 0.2389970; 5.1216714; 3.8632651
1.2966478; 3.9163864; 4.3937399; 1.9269628; 0.2219026; 5.1963620; 4.0531656
1.3963899; 3.8232853; 4.3579556; 1.9482482; 0.2049296; 5.2735871; 4.2585503
1.4961320; 3.7309346; 4.3202759; 1.9678439; 0.1879994; 5.3535255; 4.4832635
1.5958742; 3.6393085; 4.2808718; 1.9857537; 0.1711416; 5.4364120; 4.7281414
1.6956163; 3.5483646; 4.2399081; 2.0019751; 0.1541119; 5.5224782; 5.0033453
1.7953584; 3.4580656; 4.1975535; 2.0164979; 0.1371125; 5.6121167; 5.2297386
1.8951006; 3.3683484; 4.1539649; 2.0293333; 0.1202521; 5.7043058; 5.2274113
1.9948427; 3.2791673; 4.1093067; 2.0404869; 0.1034090; 5.7949884; 5.2250850
2.0945848; 3.1904435; 4.0637271; 2.0499606; 0.0865427; 5.8842343; 5.2227598
2.1943270; 3.1021251; 4.0173878; 2.0577509; 0.0696739; 5.9721078; 5.2204356
2.2940691; 3.0141215; 3.9704308; 2.0638596; 0.0528077; 6.0586687; 5.2181124
