# x_m, y_m, v_mps
5.890,-2.417,6.883
6.009,-2.403,6.881
6.128,-2.383,6.879
6.248,-2.358,6.877
6.369,-2.326,6.875
6.489,-2.288,6.873
6.607,-2.243,6.872
6.722,-2.193,6.870
6.833,-2.138,6.868
6.940,-2.079,6.866
7.044,-2.014,6.864
7.145,-1.946,6.862
7.243,-1.873,6.860
7.336,-1.797,6.858
7.426,-1.718,6.857
7.513,-1.635,6.855
7.596,-1.549,6.853
7.675,-1.460,6.851
7.751,-1.369,6.849
7.823,-1.275,6.848
7.891,-1.179,6.846
7.956,-1.081,6.844
8.017,-0.981,6.842
8.074,-0.880,6.840
8.128,-0.776,6.839
8.179,-0.672,6.837
8.226,-0.565,6.835
8.269,-0.458,6.833
8.309,-0.350,6.832
8.346,-0.240,6.830
8.379,-0.130,6.828
8.408,-0.019,6.826
8.435,0.093,6.825
8.458,0.205,6.823
8.477,0.318,6.821
8.494,0.431,6.819
8.507,0.544,6.818
8.517,0.658,6.816
8.524,0.771,6.814
8.527,0.885,6.812
8.528,0.999,6.811
8.525,1.112,6.809
8.520,1.225,6.807
8.511,1.338,6.806
8.499,1.451,6.804
8.485,1.563,6.802
8.468,1.674,6.800
8.447,1.785,6.799
8.424,1.896,6.797
8.398,2.006,6.795
8.369,2.115,6.794
8.338,2.223,6.792
8.303,2.331,6.790
8.266,2.437,6.788
8.226,2.543,6.787
8.183,2.648,6.785
8.137,2.752,6.783
8.089,2.854,6.782
8.037,2.956,6.780
7.983,3.056,6.778
7.926,3.154,6.776
7.866,3.251,6.775
7.803,3.347,6.773
7.738,3.441,6.771
7.669,3.533,6.769
7.598,3.623,6.768
7.524,3.711,6.766
7.447,3.797,6.764
7.367,3.881,6.763
7.284,3.962,6.761
7.199,4.041,6.759
7.111,4.117,6.757
7.020,4.190,6.755
6.927,4.261,6.754
6.831,4.328,6.752
6.733,4.392,6.750
6.633,4.452,6.748
6.532,4.509,6.747
6.429,4.562,6.745
6.325,4.612,6.743
6.221,4.659,6.742
6.115,4.702,6.740
6.009,4.742,6.738
5.903,4.780,6.736
5.796,4.814,6.737
5.688,4.846,6.742
5.581,4.875,6.750
5.473,4.901,6.761
5.365,4.925,6.775
5.258,4.947,6.792
5.150,4.966,6.812
5.043,4.984,6.835
4.935,4.999,6.861
4.828,5.013,6.889
4.721,5.025,6.920
4.614,5.035,6.953
4.508,5.044,6.988
4.402,5.051,7.000
4.296,5.057,7.000
4.190,5.062,7.000
4.085,5.066,7.000
3.980,5.068,7.000
3.876,5.069,7.000
3.772,5.070,7.000
3.668,5.070,7.000
3.565,5.069,7.000
3.462,5.067,7.000
3.359,5.065,7.000
3.256,5.062,7.000
3.154,5.059,7.000
3.052,5.055,7.000
2.950,5.051,7.000
2.848,5.046,7.000
2.747,5.041,7.000
2.646,5.036,7.000
2.545,5.031,7.000
2.444,5.025,7.000
2.343,5.019,7.000
2.243,5.013,7.000
2.143,5.007,7.000
2.043,5.001,7.000
1.943,4.995,7.000
1.843,4.989,7.000
1.744,4.983,7.000
1.645,4.977,7.000
1.546,4.971,7.000
1.447,4.965,7.000
1.349,4.960,7.000
1.250,4.955,7.000
1.152,4.950,7.000
1.054,4.946,7.000
0.956,4.942,7.000
0.859,4.939,7.000
0.761,4.936,7.000
0.664,4.933,7.000
0.567,4.931,7.000
0.471,4.930,7.000
0.374,4.929,7.000
0.278,4.929,7.000
0.182,4.930,7.000
0.086,4.932,7.000
-0.009,4.934,7.000
-0.105,4.937,7.000
-0.200,4.941,7.000
-0.296,4.946,7.000
-0.392,4.952,7.000
-0.489,4.958,7.000
-0.586,4.965,7.000
-0.683,4.973,7.000
-0.781,4.981,7.000
-0.878,4.989,7.000
-0.977,4.998,7.000
-1.075,5.007,7.000
-1.174,5.016,7.000
-1.273,5.025,7.000
-1.373,5.034,7.000
-1.473,5.044,7.000
-1.573,5.053,7.000
-1.673,5.062,7.000
-1.774,5.071,7.000
-1.876,5.080,7.000
-1.977,5.088,7.000
-2.079,5.096,7.000
-2.181,5.103,7.000
-2.284,5.110,7.000
-2.387,5.116,7.000
-2.490,5.122,7.000
-2.594,5.127,7.000
-2.698,5.131,7.000
-2.803,5.134,7.000
-2.908,5.136,7.000
-3.013,5.137,7.000
-3.118,5.137,7.000
