# x_m, y_m, v_mps
5.785,-1.423,5.849
5.865,-1.413,5.848
5.943,-1.400,5.847
6.019,-1.384,5.846
6.091,-1.365,5.845
6.162,-1.343,5.844
6.231,-1.317,5.843
6.299,-1.287,5.842
6.368,-1.253,5.841
6.435,-1.216,5.840
6.501,-1.175,5.839
6.565,-1.131,5.838
6.628,-1.084,5.837
6.690,-1.034,5.836
6.749,-0.982,5.835
6.807,-0.926,5.834
6.863,-0.868,5.833
6.917,-0.808,5.832
6.969,-0.745,5.831
7.019,-0.681,5.830
7.066,-0.614,5.829
7.112,-0.545,5.827
7.155,-0.474,5.826
7.196,-0.402,5.825
7.235,-0.328,5.824
7.271,-0.253,5.823
7.305,-0.176,5.822
7.336,-0.098,5.821
7.365,-0.019,5.820
7.392,0.061,5.819
7.417,0.143,5.818
7.438,0.225,5.817
7.458,0.308,5.815
7.475,0.391,5.814
7.490,0.476,5.813
7.502,0.560,5.812
7.512,0.646,5.811
7.520,0.731,5.810
7.525,0.817,5.809
7.527,0.903,5.809
7.528,0.990,5.811
7.526,1.076,5.814
7.522,1.162,5.817
7.515,1.249,5.822
7.506,1.335,5.827
7.495,1.421,5.831
7.482,1.507,5.836
7.466,1.593,5.841
7.448,1.678,5.846
7.428,1.763,5.850
7.406,1.847,5.854
7.381,1.931,5.858
7.355,2.013,5.861
7.326,2.095,5.863
7.296,2.177,5.865
7.263,2.257,5.867
7.228,2.336,5.869
7.191,2.414,5.870
7.152,2.491,5.871
7.111,2.567,5.872
7.068,2.641,5.872
7.023,2.714,5.873
6.976,2.786,5.875
6.927,2.856,5.876
6.876,2.924,5.878
6.823,2.991,5.880
6.769,3.056,5.883
6.712,3.118,5.886
6.654,3.179,5.890
6.594,3.238,5.895
6.533,3.295,5.901
6.470,3.350,5.908
6.405,3.402,5.915
6.338,3.452,5.923
6.271,3.500,5.933
6.201,3.545,5.943
6.130,3.588,5.955
6.057,3.629,5.968
5.982,3.668,5.983
5.906,3.705,5.998
5.828,3.739,6.016
5.748,3.772,6.034
5.667,3.803,6.055
5.585,3.831,6.076
5.502,3.858,6.100
5.417,3.883,6.125
5.332,3.906,6.151
5.245,3.927,6.180
5.158,3.947,6.210
5.070,3.965,6.242
4.981,3.981,6.276
4.891,3.995,6.312
4.800,4.008,6.351
4.709,4.020,6.391
4.617,4.030,6.433
4.525,4.039,6.477
4.432,4.047,6.524
4.339,4.053,6.572
4.245,4.059,6.623
4.151,4.063,6.675
4.057,4.066,6.730
3.962,4.068,6.787
3.866,4.070,6.846
3.770,4.070,6.906
3.674,4.070,6.969
3.577,4.069,7.000
3.481,4.067,7.000
3.383,4.065,7.000
3.286,4.063,7.000
3.189,4.060,7.000
3.091,4.056,7.000
2.993,4.052,7.000
2.895,4.048,7.000
2.797,4.043,7.000
2.699,4.038,7.000
2.600,4.032,7.000
2.501,4.027,7.000
2.402,4.021,7.000
2.303,4.015,7.000
2.204,4.009,7.000
2.104,4.003,7.000
2.004,3.997,7.000
1.904,3.991,7.000
1.804,3.984,7.000
1.704,3.978,7.000
1.603,3.973,7.000
1.502,3.967,7.000
1.401,3.961,7.000
1.300,3.956,7.000
1.198,3.951,7.000
1.096,3.947,7.000
0.994,3.943,7.000
0.892,3.939,7.000
0.790,3.936,7.000
0.687,3.933,7.000
0.584,3.931,7.000
0.481,3.930,7.000
0.377,3.929,7.000
0.274,3.929,7.000
0.170,3.930,7.000
0.066,3.932,7.000
-0.039,3.934,7.000
-0.143,3.938,7.000
-0.247,3.942,7.000
-0.351,3.948,7.000
-0.455,3.954,7.000
-0.558,3.961,7.000
-0.660,3.968,7.000
-0.762,3.976,7.000
-0.864,3.984,7.000
-0.965,3.993,7.000
-1.066,4.002,7.000
-1.166,4.011,7.000
-1.267,4.020,7.000
-1.367,4.029,7.000
-1.466,4.039,7.000
-1.565,4.048,7.000
-1.664,4.057,7.000
-1.763,4.066,7.000
-1.861,4.075,7.000
-1.959,4.083,7.000
-2.057,4.091,7.000
-2.154,4.099,7.000
-2.251,4.106,7.000
-2.348,4.112,7.000
-2.445,4.118,7.000
-2.541,4.123,7.000
-2.637,4.128,7.000
-2.732,4.131,7.000
-2.828,4.134,7.000
-2.923,4.136,6.976
-3.018,4.137,6.917
-3.112,4.137,6.860
-3.206,4.136,6.805
-3.300,4.134,6.753
-3.394,4.130,6.702
-3.487,4.126,6.653
-3.579,4.120,6.607
-3.672,4.113,6.562
-3.764,4.104,6.519
-3.855,4.094,6.478
-3.946,4.083,6.439
-4.036,4.070,6.402
-4.126,4.055,6.367
-4.215,4.039,6.333
-4.304,4.022,6.302
-4.392,4.002,6.272
-4.479,3.981,6.243
-4.565,3.959,6.216
-4.650,3.934,6.191
-4.735,3.908,6.167
-4.819,3.880,6.144
-4.901,3.850,6.123
-4.983,3.818,6.103
-5.063,3.784,6.084
-5.142,3.748,6.067
-5.220,3.710,6.050
-5.296,3.671,6.034
-5.371,3.629,6.020
-5.443,3.586,6.006
-5.514,3.540,5.993
-5.584,3.493,5.982
-5.651,3.443,5.971
-5.718,3.391,5.960
-5.783,3.337,5.951
-5.846,3.281,5.942
-5.908,3.223,5.933
-5.968,3.163,5.925
-6.026,3.101,5.918
-6.083,3.037,5.911
-6.137,2.971,5.905
-6.190,2.904,5.898
-6.241,2.835,5.893
-6.290,2.765,5.887
-6.338,2.693,5.881
-6.383,2.620,5.876
-6.426,2.546,5.870
-6.467,2.470,5.865
-6.506,2.393,5.859
-6.543,2.315,5.854
-6.578,2.236,5.848
-6.610,2.156,5.842
-6.641,2.075,5.835
-6.669,1.994,5.829
-6.695,1.911,5.821
-6.719,1.828,5.814
-6.741,1.744,5.806
-6.760,1.660,5.798
-6.777,1.575,5.790
-6.792,1.490,5.781
-6.804,1.405,5.773
-6.815,1.319,5.764
-6.822,1.233,5.757
-6.828,1.147,5.749
-6.831,1.061,5.743
-6.831,0.975,5.739
-6.830,0.889,5.735
-6.825,0.804,5.734
-6.819,0.718,5.733
-6.810,0.633,5.732
-6.798,0.548,5.731
-6.784,0.464,5.730
-6.768,0.381,5.729
-6.749,0.298,5.728
-6.728,0.216,5.727
-6.704,0.135,5.726
-6.678,0.055,5.725
-6.649,-0.024,5.724
-6.618,-0.102,5.722
-6.584,-0.179,5.721
-6.549,-0.255,5.720
-6.510,-0.329,5.719
-6.470,-0.401,5.718
-6.427,-0.471,5.717
-6.382,-0.539,5.716
-6.335,-0.606,5.715
-6.286,-0.670,5.714
-6.234,-0.731,5.713
-6.181,-0.790,5.712
-6.126,-0.846,5.712
-6.069,-0.899,5.711
-6.010,-0.949,5.710
-5.949,-0.996,5.709
-5.887,-1.040,5.708
-5.824,-1.080,5.707
-5.760,-1.116,5.706
-5.694,-1.148,5.705
-5.626,-1.177,5.704
-5.557,-1.203,5.703
-5.485,-1.225,5.702
-5.412,-1.244,5.701
-5.336,-1.260,5.700
-5.259,-1.273,5.699
-5.181,-1.282,5.698
-5.102,-1.288,5.697
-5.022,-1.291,5.696
-4.940,-1.291,5.695
-4.858,-1.287,5.694
-4.776,-1.281,5.696
-4.692,-1.272,5.703
-4.608,-1.261,5.716
-4.524,-1.246,5.733
-4.440,-1.230,5.756
-4.355,-1.210,5.783
-4.270,-1.189,5.816
