# 3ac02e29-2195-473d-8ffd-aaf7ae9af86c
# 1f33121d91b7f0e49544594bef0353728ab6343b
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.8326423; -1.7247203; -1.3612938; 0.4124715; 5.2275072; -1.5061293
0.0998951; 5.9298270; -1.7019646; -1.3203664; 0.4077892; 5.1986461; -1.7871053
0.1997901; 6.0261485; -1.6752287; -1.2797738; 0.4048942; 5.1641917; -0.0594668
0.2996852; 6.1211982; -1.6445006; -1.2350149; 0.4916681; 5.1630412; -0.0594403
0.3995803; 6.2146092; -1.6091467; -1.1814601; 0.5803966; 5.1618910; -0.0594139
0.4994754; 6.3059369; -1.5685653; -1.1240235; 0.5695509; 5.1607411; -0.0593874
0.5993704; 6.3947083; -1.5229042; -1.0675320; 0.5624987; 5.1595914; -0.0593609
0.6992655; 6.4808938; -1.4723316; -1.0134954; 0.5185952; 5.1584420; -0.0593609
0.7991606; 6.5642731; -1.4174119; -0.9639475; 0.4742531; 5.1572923; 0.2559429
0.8990557; 6.6450240; -1.3584996; -0.9173191; 0.4591764; 5.1622475; 0.6044686
0.9989507; 6.7228803; -1.2960296; -0.8720942; 0.4473629; 5.1739314; 0.8328057
1.0988458; 6.7979826; -1.2300473; -0.8280322; 0.4338611; 5.1899858; 1.0815638
1.1987409; 6.8700355; -1.1609893; -0.7854456; 0.4195619; 5.2107618; 1.3284121
1.2986360; 6.9392131; -1.0888797; -0.7440190; 0.4096103; 5.2361667; 1.4429234
1.3985310; 7.0053324; -1.0140571; -0.7035869; 0.4002921; 5.2636227; 1.5342738
1.4984261; 7.0684487; -0.9366010; -0.6640448; 0.3911923; 5.2926606; 1.6159387
1.5983212; 7.1284578; -0.8567819; -0.6254223; 0.3824095; 5.3230729; 1.6865518
1.6982162; 7.1853978; -0.7746941; -0.5876072; 0.3746362; 5.3546299; 1.7285179
1.7981113; 7.2392112; -0.6905568; -0.5505612; 0.3672439; 5.3867803; 1.7612376
1.8980064; 7.2899129; -0.6044843; -0.5142265; 0.3602192; 5.4193432; 1.7857676
1.9979015; 7.3374791; -0.5166542; -0.4785818; 0.3535048; 5.4521610; 1.8042536
2.0977965; 7.3819198; -0.4271891; -0.4435944; 0.3470201; 5.4851191; 1.8193341
2.1976916; 7.4232287; -0.3362459; -0.4092346; 0.3409883; 5.5181533; 1.8188750
2.2975867; 7.4614189; -0.2439427; -0.3754647; 0.3351437; 5.5509828; 1.8127460
2.3974818; 7.4964961; -0.1504176; -0.3422687; 0.3295505; 5.5835095; 1.8041188
2.4973768; 7.5284766; -0.0557860; -0.3096149; 0.3242721; 5.6156944; 1.7910104
2.5972719; 7.5573759; 0.0398338; -0.2774716; 0.3193045; 5.6474640; 1.7735699
2.6971670; 7.5832103; 0.1363247; -0.2458136; 0.3145799; 5.6787491; 1.7539079
2.7970621; 7.6060005; 0.2335824; -0.2146119; 0.3101229; 5.7095188; 1.7311297
2.8969571; 7.6257667; 0.3314970; -0.1838489; 0.3058376; 5.7397271; 1.7082180
2.9968522; 7.6425329; 0.4299723; -0.1534994; 0.3018005; 5.7693806; 1.6824732
3.0967473; 7.6563226; 0.5289059; -0.1235470; 0.2979278; 5.7984390; 1.6565529
3.1966423; 7.6671623; 0.6282087; -0.0939681; 0.2942845; 5.8269080; 1.6280865
3.2965374; 7.6750781; 0.7277851; -0.0647458; 0.2908238; 5.8547530; 1.5985638
3.3964325; 7.6800980; 0.8275512; -0.0358574; 0.2875347; 5.8819648; 1.5681917
3.4963276; 7.6822505; 0.9274185; -0.0072967; 0.2843212; 5.9085378; 1.5400782
3.5962226; 7.6815659; 1.0273085; 0.0209541; 0.2813147; 5.9345187; 1.5093762
3.6961177; 7.6780747; 1.1271386; 0.0489139; 0.2785106; 5.9598717; 1.4762064
3.7960128; 7.6718076; 1.2268340; 0.0765982; 0.2756103; 5.9845636; 1.4510154
3.8959079; 7.6627985; 1.3263182; 0.1039728; 0.2724917; 6.0087354; 1.4345436
3.9958029; 7.6510852; 1.4255184; 0.1310446; 0.2695481; 6.0325375; 1.4099616
4.0956980; 7.6367051; 1.5243687; 0.1578280; 0.2667055; 6.0558405; 1.3856973
4.1955931; 7.6196969; 1.6227982; 0.1843504; 0.2647066; 6.0786556; 1.3343999
4.2954882; 7.6000911; 1.7207474; 0.2107350; 0.2635621; 6.1005453; 1.2571709
4.3953832; 7.5779144; 1.8181421; 0.2370200; 0.2628998; 6.1210966; 1.1693032
4.4952783; 7.5531861; 1.9149265; 0.2632701; 0.2626658; 6.1401497; 1.0733194
4.5951734; 7.5259290; 2.0110211; 0.2895122; 0.2629711; 6.1575870; 0.9653894
4.6950684; 7.4961542; 2.1063761; 0.3158196; 0.2637298; 6.1732287; 0.8494921
4.7949635; 7.4638814; 2.2009026; 0.3422139; 0.2649035; 6.1869599; 0.7276065
4.8948586; 7.4291137; 2.2945553; 0.3687532; 0.2664298; 6.1986968; 0.6025691
4.9947537; 7.3918711; 2.3872366; 0.3954513; 0.2682125; 6.2083999; 0.4783936
5.0946487; 7.3521522; 2.4789018; 0.4223477; 0.2702686; 6.2160926; 0.3544422
5.1945438; 7.3099803; 2.5694460; 0.4494595; 0.2726764; 6.2217860; 0.2277862
5.2944389; 7.2653498; 2.6588237; 0.4768341; 0.2753690; 6.2254422; 0.1014584
5.3943340; 7.2182864; 2.7469238; 0.5044857; 0.2783774; 6.2270700; -0.0260791
5.4942290; 7.1687818; 2.8336980; 0.5324611; 0.2816978; 6.2266517; -0.0864528
5.5941241; 7.1168649; 2.9190289; 0.5607667; 0.2850175; 6.2252645; -0.0864143
5.6940192; 7.0625296; 3.0028627; 0.5894121; 0.2884733; 6.2238777; -0.0863758
