# x_m, y_m, v_mps
5.890,-2.417,5.310
6.009,-2.403,5.309
6.128,-2.383,5.307
6.248,-2.358,5.306
6.369,-2.326,5.304
6.489,-2.288,5.303
6.607,-2.243,5.301
6.722,-2.193,5.300
6.833,-2.138,5.298
6.940,-2.079,5.297
7.044,-2.014,5.295
7.145,-1.946,5.294
7.243,-1.873,5.293
7.336,-1.797,5.291
7.426,-1.718,5.290
7.513,-1.635,5.288
7.596,-1.549,5.287
7.675,-1.460,5.286
7.751,-1.369,5.284
7.823,-1.275,5.283
7.891,-1.179,5.281
7.956,-1.081,5.280
8.017,-0.981,5.279
8.074,-0.880,5.277
8.128,-0.776,5.276
8.179,-0.672,5.274
8.226,-0.565,5.273
8.269,-0.458,5.272
8.309,-0.350,5.270
8.346,-0.240,5.269
8.379,-0.130,5.268
8.408,-0.019,5.266
8.435,0.093,5.265
8.458,0.205,5.264
8.477,0.318,5.262
8.494,0.431,5.261
8.507,0.544,5.260
8.517,0.658,5.258
8.524,0.771,5.257
8.527,0.885,5.256
8.528,0.999,5.257
8.525,1.112,5.259
8.520,1.225,5.262
8.511,1.338,5.265
8.499,1.451,5.269
8.485,1.563,5.272
8.468,1.674,5.276
8.447,1.785,5.280
8.424,1.896,5.283
8.398,2.006,5.287
8.369,2.115,5.289
8.338,2.223,5.292
8.303,2.331,5.294
8.266,2.437,5.295
8.226,2.543,5.297
8.183,2.648,5.297
8.137,2.752,5.298
8.089,2.854,5.298
8.037,2.956,5.298
7.983,3.056,5.297
7.926,3.154,5.296
7.866,3.251,5.295
7.803,3.347,5.295
7.738,3.441,5.294
7.669,3.533,5.293
7.598,3.623,5.292
7.524,3.711,5.292
7.447,3.797,5.292
7.367,3.881,5.292
7.284,3.962,5.293
7.199,4.041,5.295
7.111,4.117,5.298
7.020,4.190,5.301
6.927,4.261,5.306
6.831,4.328,5.311
6.733,4.392,5.317
6.633,4.452,5.325
6.532,4.509,5.334
6.429,4.562,5.344
6.325,4.612,5.355
6.221,4.659,5.368
6.115,4.702,5.382
6.009,4.742,5.397
5.903,4.780,5.415
5.796,4.814,5.433
5.688,4.846,5.454
5.581,4.875,5.476
5.473,4.901,5.500
5.365,4.925,5.525
5.258,4.947,5.553
5.150,4.966,5.582
5.043,4.984,5.613
4.935,4.999,5.646
4.828,5.013,5.681
4.721,5.025,5.718
4.614,5.035,5.757
4.508,5.044,5.798
4.402,5.051,5.841
4.296,5.057,5.886
4.190,5.062,5.933
4.085,5.066,5.982
3.980,5.068,6.033
3.876,5.069,6.086
3.772,5.070,6.141
3.668,5.070,6.198
3.565,5.069,6.258
3.462,5.067,6.319
3.359,5.065,6.382
3.256,5.062,6.447
3.154,5.059,6.514
3.052,5.055,6.584
2.950,5.051,6.656
2.848,5.046,6.730
2.747,5.041,6.806
2.646,5.036,6.883
2.545,5.031,6.959
2.444,5.025,7.000
2.343,5.019,7.000
2.243,5.013,7.000
2.143,5.007,7.000
2.043,5.001,7.000
1.943,4.995,7.000
1.843,4.989,7.000
1.744,4.983,7.000
1.645,4.977,7.000
1.546,4.971,7.000
1.447,4.965,7.000
1.349,4.960,7.000
1.250,4.955,7.000
1.152,4.950,7.000
1.054,4.946,7.000
0.956,4.942,7.000
0.859,4.939,7.000
0.761,4.936,7.000
0.664,4.933,7.000
0.567,4.931,7.000
0.471,4.930,7.000
0.374,4.929,7.000
0.278,4.929,7.000
0.182,4.930,7.000
0.086,4.932,7.000
-0.009,4.934,7.000
-0.105,4.937,7.000
-0.200,4.941,7.000
-0.296,4.946,7.000
-0.392,4.952,7.000
-0.489,4.958,7.000
-0.586,4.965,7.000
-0.683,4.973,7.000
-0.781,4.981,7.000
-0.878,4.989,7.000
-0.977,4.998,7.000
-1.075,5.007,7.000
-1.174,5.016,7.000
-1.273,5.025,7.000
-1.373,5.034,7.000
-1.473,5.044,7.000
-1.573,5.053,7.000
-1.673,5.062,7.000
-1.774,5.071,6.944
-1.876,5.080,6.862
-1.977,5.088,6.784
-2.079,5.096,6.709
-2.181,5.103,6.636
-2.284,5.110,6.566
-2.387,5.116,6.499
-2.490,5.122,6.435
-2.594,5.127,6.373
-2.698,5.131,6.313
-2.803,5.134,6.256
-2.908,5.136,6.201
-3.013,5.137,6.149
-3.118,5.137,6.098
-3.224,5.136,6.049
-3.330,5.133,6.003
-3.436,5.130,5.958
-3.543,5.124,5.916
-3.650,5.117,5.875
-3.757,5.109,5.837
-3.864,5.099,5.800
-3.971,5.087,5.765
-4.079,5.074,5.731
-4.186,5.059,5.700
-4.294,5.041,5.669
-4.401,5.022,5.641
-4.509,5.001,5.614
-4.616,4.977,5.589
-4.724,4.951,5.565
-4.831,4.923,5.543
-4.937,4.892,5.522
-5.043,4.859,5.502
-5.149,4.823,5.484
-5.255,4.785,5.468
-5.359,4.744,5.452
-5.463,4.700,5.438
-5.566,4.654,5.424
-5.668,4.604,5.412
-5.770,4.551,5.401
-5.870,4.496,5.391
-5.969,4.437,5.381
-6.066,4.374,5.373
-6.162,4.309,5.365
-6.255,4.240,5.358
-6.346,4.169,5.352
-6.435,4.095,5.346
-6.521,4.019,5.342
-6.605,3.940,5.337
-6.686,3.858,5.334
-6.765,3.775,5.331
-6.841,3.689,5.328
-6.914,3.601,5.325
-6.985,3.511,5.323
-7.053,3.419,5.320
-7.118,3.326,5.318
-7.181,3.230,5.316
-7.241,3.133,5.314
-7.298,3.035,5.312
-7.352,2.935,5.309
-7.404,2.834,5.307
-7.452,2.731,5.304
-7.498,2.627,5.302
-7.541,2.522,5.299
-7.581,2.416,5.296
-7.618,2.308,5.292
-7.653,2.200,5.289
-7.684,2.091,5.285
-7.712,1.981,5.281
-7.738,1.871,5.277
-7.760,1.760,5.273
-7.780,1.648,5.269
-7.796,1.535,5.266
-7.809,1.423,5.263
-7.819,1.309,5.260
-7.827,1.196,5.259
-7.830,1.082,5.258
-7.831,0.968,5.256
-7.829,0.854,5.255
-7.823,0.740,5.254
-7.814,0.626,5.252
-7.802,0.513,5.251
-7.787,0.399,5.250
-7.768,0.286,5.248
-7.746,0.173,5.247
-7.720,0.061,5.246
-7.691,-0.050,5.244
-7.659,-0.161,5.243
-7.623,-0.271,5.242
-7.584,-0.380,5.240
-7.541,-0.487,5.239
-7.494,-0.594,5.238
-7.444,-0.699,5.236
-7.391,-0.803,5.235
-7.333,-0.905,5.234
-7.272,-1.005,5.232
-7.207,-1.104,5.231
