# x_m, y_m, v_mps
5.785,-1.423,4.556
5.865,-1.413,4.555
5.943,-1.400,4.554
6.019,-1.384,4.553
6.091,-1.365,4.552
6.162,-1.343,4.552
6.231,-1.317,4.551
6.299,-1.287,4.550
6.368,-1.253,4.549
6.435,-1.216,4.549
6.501,-1.175,4.548
6.565,-1.131,4.547
6.628,-1.084,4.546
6.690,-1.034,4.545
6.749,-0.982,4.545
6.807,-0.926,4.544
6.863,-0.868,4.543
6.917,-0.808,4.542
6.969,-0.745,4.541
7.019,-0.681,4.540
7.066,-0.614,4.540
7.112,-0.545,4.539
7.155,-0.474,4.538
7.196,-0.402,4.537
7.235,-0.328,4.536
7.271,-0.253,4.535
7.305,-0.176,4.535
7.336,-0.098,4.534
7.365,-0.019,4.533
7.392,0.061,4.532
7.417,0.143,4.531
7.438,0.225,4.531
7.458,0.308,4.534
7.475,0.391,4.539
7.490,0.476,4.546
7.502,0.560,4.555
7.512,0.646,4.565
7.520,0.731,4.576
7.525,0.817,4.587
7.527,0.903,4.599
7.528,0.990,4.612
7.526,1.076,4.624
7.522,1.162,4.636
7.515,1.249,4.648
7.506,1.335,4.660
7.495,1.421,4.671
7.482,1.507,4.681
7.466,1.593,4.691
7.448,1.678,4.700
7.428,1.763,4.709
7.406,1.847,4.716
7.381,1.931,4.723
7.355,2.013,4.729
7.326,2.095,4.734
7.296,2.177,4.739
7.263,2.257,4.743
7.228,2.336,4.746
7.191,2.414,4.749
7.152,2.491,4.751
7.111,2.567,4.754
7.068,2.641,4.756
7.023,2.714,4.758
6.976,2.786,4.760
6.927,2.856,4.762
6.876,2.924,4.765
6.823,2.991,4.768
6.769,3.056,4.771
6.712,3.118,4.775
6.654,3.179,4.780
6.594,3.238,4.785
6.533,3.295,4.791
6.470,3.350,4.797
6.405,3.402,4.805
6.338,3.452,4.813
6.271,3.500,4.822
6.201,3.545,4.833
6.130,3.588,4.844
6.057,3.629,4.857
5.982,3.668,4.870
5.906,3.705,4.885
5.828,3.739,4.902
5.748,3.772,4.920
5.667,3.803,4.939
5.585,3.831,4.960
5.502,3.858,4.982
5.417,3.883,5.006
5.332,3.906,5.032
5.245,3.927,5.059
5.158,3.947,5.089
