# b3688de0-1126-4a5b-b34a-85f0355a38a2
# 520b0e7adf9ae2f693188b6d864b326c3aee9afa
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.8326423; -1.7247203; -1.3612938; 0.4124715; 4.1260313; -1.4370830
0.0998951; 5.9298270; -1.7019646; -1.3203664; 0.4077892; 4.0910902; -1.6889447
0.1997901; 6.0261485; -1.6752287; -1.2797738; 0.4048942; 4.0496401; -0.4252008
0.2996852; 6.1211982; -1.6445006; -1.2350149; 0.4916681; 4.0391378; -0.0363787
0.3995803; 6.2146092; -1.6091467; -1.1814601; 0.5803966; 4.0382380; -0.0363625
0.4994754; 6.3059369; -1.5685653; -1.1240235; 0.5695509; 4.0373383; -0.0363463
0.5993704; 6.3947083; -1.5229042; -1.0675320; 0.5624987; 4.0364389; -0.0363301
0.6992655; 6.4808938; -1.4723316; -1.0134954; 0.5185952; 4.0355397; -0.0363301
0.7991606; 6.5642731; -1.4174119; -0.9639475; 0.4742531; 4.0346403; 0.6938341
0.8990557; 6.6450240; -1.3584996; -0.9173191; 0.4591764; 4.0517828; 0.8818158
0.9989507; 6.7228803; -1.2960296; -0.8720942; 0.4473629; 4.0734656; 0.9911291
1.0988458; 6.7979826; -1.2300473; -0.8280322; 0.4338611; 4.0976993; 1.1239496
1.1987409; 6.8700355; -1.1609893; -0.7854456; 0.4195619; 4.1250083; 1.2627604
1.2986360; 6.9392131; -1.0888797; -0.7440190; 0.4096103; 4.1554760; 1.3092589
1.3985310; 7.0053324; -1.0140571; -0.7035869; 0.4002921; 4.1868315; 1.3440020
1.4984261; 7.0684487; -0.9366010; -0.6640448; 0.3911923; 4.2187766; 1.3763007
1.5983212; 7.1284578; -0.8567819; -0.6254223; 0.3824095; 4.2512407; 1.4044403
1.6982162; 7.1853978; -0.7746941; -0.5876072; 0.3746362; 4.2841149; 1.4144967
1.7981113; 7.2392112; -0.6905568; -0.5505612; 0.3672439; 4.3169715; 1.4206730
1.8980064; 7.2899129; -0.6044843; -0.5142265; 0.3602192; 4.3497218; 1.4233308
1.9979015; 7.3374791; -0.5166542; -0.4785818; 0.3535048; 4.3822879; 1.4237294
2.0977965; 7.3819198; -0.4271891; -0.4435944; 0.3470201; 4.4146228; 1.4235641
2.1976916; 7.4232287; -0.3362459; -0.4092346; 0.3409883; 4.4467188; 1.4177055
2.2975867; 7.4614189; -0.2439427; -0.3754647; 0.3351437; 4.4784542; 1.4122458
2.3974818; 7.4964961; -0.1504176; -0.3422687; 0.3295505; 4.5098453; 1.4023833
2.4973768; 7.5284766; -0.0557860; -0.3096149; 0.3242721; 4.5408025; 1.3831912
2.5972719; 7.5573759; 0.0398338; -0.2774716; 0.3193045; 4.5711306; 1.3620355
2.6971670; 7.5832103; 0.1363247; -0.2458136; 0.3145799; 4.6007995; 1.3403531
2.7970621; 7.6060005; 0.2335824; -0.2146119; 0.3101229; 4.6298106; 1.3172805
2.8969571; 7.6257667; 0.3314970; -0.1838489; 0.3058376; 4.6581461; 1.2949982
2.9968522; 7.6425329; 0.4299723; -0.1534994; 0.3018005; 4.6858354; 1.2712728
3.0967473; 7.6563226; 0.5289059; -0.1235470; 0.2979278; 4.7128591; 1.2480795
3.1966423; 7.6671623; 0.6282087; -0.0939681; 0.2942845; 4.7392399; 1.2234627
3.2965374; 7.6750781; 0.7277851; -0.0647458; 0.2908238; 4.7649586; 1.1985148
3.3964325; 7.6800980; 0.8275512; -0.0358574; 0.2875347; 4.7900190; 1.1733289
3.4963276; 7.6822505; 0.9274185; -0.0072967; 0.2843212; 4.8144264; 1.1503048
3.5962226; 7.6815659; 1.0273085; 0.0209541; 0.2813147; 4.8382354; 1.1255460
3.6961177; 7.6780747; 1.1271386; 0.0489139; 0.2785106; 4.8614190; 1.0991028
3.7960128; 7.6718076; 1.2268340; 0.0765982; 0.2756103; 4.8839517; 1.0792534
3.8959079; 7.6627985; 1.3263182; 0.1039728; 0.2724917; 4.9059768; 1.0689211
3.9958029; 7.6510852; 1.4255184; 0.1310446; 0.2695481; 4.9276940; 1.0561789
4.0956980; 7.6367051; 1.5243687; 0.1578280; 0.2667055; 4.9490588; 1.0432056
4.1955931; 7.6196969; 1.6227982; 0.1843504; 0.2647066; 4.9700709; 1.0081701
4.2954882; 7.6000911; 1.7207474; 0.2107350; 0.2635621; 4.9902933; 0.9519209
4.3953832; 7.5779144; 1.8181421; 0.2370200; 0.2628998; 5.0093125; 0.8866759
4.4952783; 7.5531861; 1.9149265; 0.2632701; 0.2626658; 5.0269634; 0.8144605
4.5951734; 7.5259290; 2.0110211; 0.2895122; 0.2629711; 5.0431222; 0.7322115
4.6950684; 7.4961542; 2.1063761; 0.3158196; 0.2637298; 5.0576052; 0.6431313
4.7949635; 7.4638814; 2.2009026; 0.3422139; 0.2649035; 5.0702921; 0.5488304
4.8948586; 7.4291137; 2.2945553; 0.3687532; 0.2664298; 5.0810937; 0.4516179
4.9947537; 7.3918711; 2.3872366; 0.3954513; 0.2682125; 5.0899648; 0.3547586
5.0946487; 7.3521522; 2.4789018; 0.4223477; 0.2702686; 5.0969225; 0.2577822
5.1945438; 7.3099803; 2.5694460; 0.4494595; 0.2726764; 5.1019723; 0.1583767
5.2944389; 7.2653498; 2.6588237; 0.4768341; 0.2753690; 5.1050723; 0.0590280
5.3943340; 7.2182864; 2.7469238; 0.5044857; 0.2783774; 5.1062272; -0.0413814
