# x_m, y_m, v_mps
5.890,-2.417,6.147
6.009,-2.403,6.145
6.128,-2.383,6.144
6.248,-2.358,6.142
6.369,-2.326,6.140
6.489,-2.288,6.139
6.607,-2.243,6.137
6.722,-2.193,6.135
6.833,-2.138,6.133
6.940,-2.079,6.132
7.044,-2.014,6.130
7.145,-1.946,6.128
7.243,-1.873,6.127
7.336,-1.797,6.125
7.426,-1.718,6.124
7.513,-1.635,6.122
7.596,-1.549,6.120
7.675,-1.460,6.119
7.751,-1.369,6.117
7.823,-1.275,6.115
7.891,-1.179,6.114
7.956,-1.081,6.112
8.017,-0.981,6.111
8.074,-0.880,6.109
8.128,-0.776,6.107
8.179,-0.672,6.106
8.226,-0.565,6.104
8.269,-0.458,6.103
8.309,-0.350,6.101
8.346,-0.240,6.100
8.379,-0.130,6.098
8.408,-0.019,6.096
8.435,0.093,6.095
8.458,0.205,6.093
8.477,0.318,6.092
8.494,0.431,6.090
8.507,0.544,6.089
8.517,0.658,6.087
8.524,0.771,6.086
8.527,0.885,6.084
8.528,0.999,6.083
8.525,1.112,6.081
8.520,1.225,6.079
8.511,1.338,6.078
8.499,1.451,6.076
8.485,1.563,6.075
8.468,1.674,6.073
8.447,1.785,6.072
8.424,1.896,6.070
8.398,2.006,6.069
8.369,2.115,6.067
8.338,2.223,6.066
8.303,2.331,6.064
8.266,2.437,6.063
8.226,2.543,6.061
8.183,2.648,6.060
8.137,2.752,6.058
8.089,2.854,6.057
8.037,2.956,6.055
7.983,3.056,6.053
7.926,3.154,6.052
7.866,3.251,6.050
7.803,3.347,6.049
7.738,3.441,6.047
7.669,3.533,6.046
7.598,3.623,6.044
7.524,3.711,6.043
7.447,3.797,6.041
7.367,3.881,6.039
7.284,3.962,6.038
7.199,4.041,6.036
7.111,4.117,6.035
7.020,4.190,6.033
6.927,4.261,6.032
6.831,4.328,6.030
6.733,4.392,6.029
6.633,4.452,6.027
6.532,4.509,6.026
6.429,4.562,6.028
6.325,4.612,6.032
6.221,4.659,6.039
6.115,4.702,6.047
6.009,4.742,6.057
5.903,4.780,6.070
5.796,4.814,6.085
5.688,4.846,6.101
5.581,4.875,6.120
5.473,4.901,6.141
5.365,4.925,6.164
5.258,4.947,6.189
5.150,4.966,6.216
5.043,4.984,6.245
4.935,4.999,6.276
4.828,5.013,6.309
4.721,5.025,6.344
4.614,5.035,6.381
4.508,5.044,6.420
4.402,5.051,6.462
4.296,5.057,6.505
4.190,5.062,6.550
4.085,5.066,6.597
3.980,5.068,6.646
3.876,5.069,6.697
3.772,5.070,6.750
3.668,5.070,6.805
3.565,5.069,6.862
3.462,5.067,6.921
3.359,5.065,6.982
3.256,5.062,7.000
3.154,5.059,7.000
3.052,5.055,7.000
2.950,5.051,7.000
2.848,5.046,7.000
2.747,5.041,7.000
2.646,5.036,7.000
2.545,5.031,7.000
2.444,5.025,7.000
2.343,5.019,7.000
2.243,5.013,7.000
2.143,5.007,7.000
2.043,5.001,7.000
1.943,4.995,7.000
1.843,4.989,7.000
1.744,4.983,7.000
1.645,4.977,7.000
1.546,4.971,7.000
1.447,4.965,7.000
1.349,4.960,7.000
1.250,4.955,7.000
1.152,4.950,7.000
1.054,4.946,7.000
0.956,4.942,7.000
0.859,4.939,7.000
0.761,4.936,7.000
0.664,4.933,7.000
0.567,4.931,7.000
0.471,4.930,7.000
0.374,4.929,7.000
0.278,4.929,7.000
0.182,4.930,7.000
0.086,4.932,7.000
-0.009,4.934,7.000
-0.105,4.937,7.000
-0.200,4.941,7.000
-0.296,4.946,7.000
-0.392,4.952,7.000
-0.489,4.958,7.000
-0.586,4.965,7.000
-0.683,4.973,7.000
-0.781,4.981,7.000
-0.878,4.989,7.000
-0.977,4.998,7.000
-1.075,5.007,7.000
-1.174,5.016,7.000
-1.273,5.025,7.000
-1.373,5.034,7.000
-1.473,5.044,7.000
-1.573,5.053,7.000
-1.673,5.062,7.000
-1.774,5.071,7.000
-1.876,5.080,7.000
-1.977,5.088,7.000
-2.079,5.096,7.000
-2.181,5.103,7.000
-2.284,5.110,7.000
-2.387,5.116,7.000
-2.490,5.122,7.000
-2.594,5.127,6.976
-2.698,5.131,6.919
-2.803,5.134,6.865
-2.908,5.136,6.812
-3.013,5.137,6.762
-3.118,5.137,6.713
-3.224,5.136,6.667
-3.330,5.133,6.623
-3.436,5.130,6.581
-3.543,5.124,6.541
-3.650,5.117,6.503
-3.757,5.109,6.466
-3.864,5.099,6.432
-3.971,5.087,6.400
-4.079,5.074,6.369
-4.186,5.059,6.340
-4.294,5.041,6.314
