# x_m, y_m, v_mps
5.785,-1.423,5.242
5.865,-1.413,5.241
5.943,-1.400,5.240
6.019,-1.384,5.240
6.091,-1.365,5.239
6.162,-1.343,5.238
6.231,-1.317,5.237
6.299,-1.287,5.236
6.368,-1.253,5.235
6.435,-1.216,5.234
6.501,-1.175,5.233
6.565,-1.131,5.232
6.628,-1.084,5.232
6.690,-1.034,5.231
6.749,-0.982,5.230
6.807,-0.926,5.229
6.863,-0.868,5.228
6.917,-0.808,5.227
6.969,-0.745,5.226
7.019,-0.681,5.225
7.066,-0.614,5.224
7.112,-0.545,5.223
7.155,-0.474,5.222
7.196,-0.402,5.221
7.235,-0.328,5.220
7.271,-0.253,5.219
7.305,-0.176,5.218
7.336,-0.098,5.217
7.365,-0.019,5.216
7.392,0.061,5.215
7.417,0.143,5.214
7.438,0.225,5.213
7.458,0.308,5.212
7.475,0.391,5.211
7.490,0.476,5.210
7.502,0.560,5.209
7.512,0.646,5.211
7.520,0.731,5.215
7.525,0.817,5.220
7.527,0.903,5.226
7.528,0.990,5.233
7.526,1.076,5.241
7.522,1.162,5.249
7.515,1.249,5.257
7.506,1.335,5.266
7.495,1.421,5.274
7.482,1.507,5.282
7.466,1.593,5.289
7.448,1.678,5.296
7.428,1.763,5.302
7.406,1.847,5.308
7.381,1.931,5.313
7.355,2.013,5.318
7.326,2.095,5.322
7.296,2.177,5.325
7.263,2.257,5.328
7.228,2.336,5.331
7.191,2.414,5.333
7.152,2.491,5.335
7.111,2.567,5.336
7.068,2.641,5.338
7.023,2.714,5.339
6.976,2.786,5.341
6.927,2.856,5.343
6.876,2.924,5.345
6.823,2.991,5.348
6.769,3.056,5.351
6.712,3.118,5.355
6.654,3.179,5.359
6.594,3.238,5.364
6.533,3.295,5.370
6.470,3.350,5.377
6.405,3.402,5.384
6.338,3.452,5.393
6.271,3.500,5.402
6.201,3.545,5.413
6.130,3.588,5.425
6.057,3.629,5.438
5.982,3.668,5.452
5.906,3.705,5.467
5.828,3.739,5.485
5.748,3.772,5.503
5.667,3.803,5.523
5.585,3.831,5.545
5.502,3.858,5.568
5.417,3.883,5.593
5.332,3.906,5.620
5.245,3.927,5.648
5.158,3.947,5.679
5.070,3.965,5.711
4.981,3.981,5.746
4.891,3.995,5.782
4.800,4.008,5.821
4.709,4.020,5.862
4.617,4.030,5.905
4.525,4.039,5.950
4.432,4.047,5.997
4.339,4.053,6.046
4.245,4.059,6.098
4.151,4.063,6.151
4.057,4.066,6.207
3.962,4.068,6.264
3.866,4.070,6.323
3.770,4.070,6.384
3.674,4.070,6.448
3.577,4.069,6.513
3.481,4.067,6.580
3.383,4.065,6.649
3.286,4.063,6.719
3.189,4.060,6.792
3.091,4.056,6.866
2.993,4.052,6.940
2.895,4.048,7.000
2.797,4.043,7.000
2.699,4.038,7.000
2.600,4.032,7.000
2.501,4.027,7.000
2.402,4.021,7.000
2.303,4.015,7.000
2.204,4.009,7.000
2.104,4.003,7.000
2.004,3.997,7.000
1.904,3.991,7.000
1.804,3.984,7.000
1.704,3.978,7.000
1.603,3.973,7.000
1.502,3.967,7.000
1.401,3.961,7.000
1.300,3.956,7.000
1.198,3.951,7.000
1.096,3.947,7.000
0.994,3.943,7.000
0.892,3.939,7.000
0.790,3.936,7.000
0.687,3.933,7.000
0.584,3.931,7.000
0.481,3.930,7.000
0.377,3.929,7.000
0.274,3.929,7.000
0.170,3.930,7.000
0.066,3.932,7.000
-0.039,3.934,7.000
-0.143,3.938,7.000
-0.247,3.942,7.000
-0.351,3.948,7.000
-0.455,3.954,7.000
-0.558,3.961,7.000
-0.660,3.968,7.000
-0.762,3.976,7.000
-0.864,3.984,7.000
-0.965,3.993,7.000
-1.066,4.002,7.000
-1.166,4.011,7.000
-1.267,4.020,7.000
-1.367,4.029,7.000
-1.466,4.039,7.000
-1.565,4.048,7.000
-1.664,4.057,7.000
-1.763,4.066,7.000
-1.861,4.075,7.000
-1.959,4.083,7.000
-2.057,4.091,7.000
-2.154,4.099,7.000
-2.251,4.106,6.925
-2.348,4.112,6.851
-2.445,4.118,6.779
-2.541,4.123,6.709
-2.637,4.128,6.641
-2.732,4.131,6.576
-2.828,4.134,6.512
-2.923,4.136,6.451
-3.018,4.137,6.392
-3.112,4.137,6.335
-3.206,4.136,6.279
-3.300,4.134,6.226
-3.394,4.130,6.175
-3.487,4.126,6.126
-3.579,4.120,6.079
-3.672,4.113,6.033
-3.764,4.104,5.990
-3.855,4.094,5.948
-3.946,4.083,5.908
-4.036,4.070,5.871
-4.126,4.055,5.835
-4.215,4.039,5.801
-4.304,4.022,5.769
-4.392,4.002,5.738
-4.479,3.981,5.710
-4.565,3.959,5.682
-4.650,3.934,5.657
-4.735,3.908,5.633
-4.819,3.880,5.610
-4.901,3.850,5.589
-4.983,3.818,5.569
-5.063,3.784,5.550
-5.142,3.748,5.532
-5.220,3.710,5.515
-5.296,3.671,5.500
-5.371,3.629,5.486
-5.443,3.586,5.472
-5.514,3.540,5.460
-5.584,3.493,5.448
-5.651,3.443,5.437
-5.718,3.391,5.427
-5.783,3.337,5.417
-5.846,3.281,5.408
-5.908,3.223,5.399
-5.968,3.163,5.392
-6.026,3.101,5.384
-6.083,3.037,5.377
-6.137,2.971,5.370
-6.190,2.904,5.364
-6.241,2.835,5.358
-6.290,2.765,5.352
-6.338,2.693,5.346
-6.383,2.620,5.340
-6.426,2.546,5.334
-6.467,2.470,5.328
-6.506,2.393,5.321
-6.543,2.315,5.315
-6.578,2.236,5.308
-6.610,2.156,5.301
-6.641,2.075,5.294
-6.669,1.994,5.286
-6.695,1.911,5.277
