# 5d7cce10-aa80-4392-b3ca-550642add5d8
# 817d2baab3c94d224eac9769010718d8ab383ecc
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.8326423; -1.7247203; -1.3612938; 0.4124715; 4.7127263; -1.5356208
0.0998951; 5.9298270; -1.7019646; -1.3203664; 0.4077892; 4.6800628; -1.8182571
0.1997901; 6.0261485; -1.6752287; -1.2797738; 0.4048942; 4.6410901; -0.2697998
0.2996852; 6.1211982; -1.6445006; -1.2350149; 0.4916681; 4.6352793; -0.0479095
0.3995803; 6.2146092; -1.6091467; -1.1814601; 0.5803966; 4.6342467; -0.0478882
0.4994754; 6.3059369; -1.5685653; -1.1240235; 0.5695509; 4.6332143; -0.0478668
0.5993704; 6.3947083; -1.5229042; -1.0675320; 0.5624987; 4.6321822; -0.0478455
0.6992655; 6.4808938; -1.4723316; -1.0134954; 0.5185952; 4.6311502; -0.0478455
0.7991606; 6.5642731; -1.4174119; -0.9639475; 0.4742531; 4.6301181; 0.5829787
0.8990557; 6.6450240; -1.3584996; -0.9173191; 0.4591764; 4.6426788; 0.8355925
0.9989507; 6.7228803; -1.2960296; -0.8720942; 0.4473629; 4.6606233; 0.9894605
1.0988458; 6.7979826; -1.2300473; -0.8280322; 0.4338611; 4.6817833; 1.1666923
1.1987409; 6.8700355; -1.1609893; -0.7854456; 0.4195619; 4.7066111; 1.3470956
1.2986360; 6.9392131; -1.0888797; -0.7440190; 0.4096103; 4.7351161; 1.4152833
1.3985310; 7.0053324; -1.0140571; -0.7035869; 0.4002921; 4.7648803; 1.4670887
1.4984261; 7.0684487; -0.9366010; -0.6640448; 0.3911923; 4.7955390; 1.5138904
1.5983212; 7.1284578; -0.8567819; -0.6254223; 0.3824095; 4.8269716; 1.5539781
1.6982162; 7.1853978; -0.7746941; -0.5876072; 0.3746362; 4.8590250; 1.5712208
1.7981113; 7.2392112; -0.6905568; -0.5505612; 0.3672439; 4.8912205; 1.5826312
1.8980064; 7.2899129; -0.6044843; -0.5142265; 0.3602192; 4.9234371; 1.5888301
1.9979015; 7.3374791; -0.5166542; -0.4785818; 0.3535048; 4.9555691; 1.5914673
2.0977965; 7.3819198; -0.4271891; -0.4435944; 0.3470201; 4.9875469; 1.5926792
2.1976916; 7.4232287; -0.3362459; -0.4092346; 0.3409883; 5.0193452; 1.5865269
2.2975867; 7.4614189; -0.2439427; -0.3754647; 0.3351437; 5.0508216; 1.5803168
2.3974818; 7.4964961; -0.1504176; -0.3422687; 0.3295505; 5.0819809; 1.5720983
2.4973768; 7.5284766; -0.0557860; -0.3096149; 0.3242721; 5.1127899; 1.5600373
2.5972719; 7.5573759; 0.0398338; -0.2774716; 0.3193045; 5.1431800; 1.5442390
2.6971670; 7.5832103; 0.1363247; -0.2458136; 0.3145799; 5.1730865; 1.5265954
2.7970621; 7.6060005; 0.2335824; -0.2146119; 0.3101229; 5.2024823; 1.5062666
2.8969571; 7.6257667; 0.3314970; -0.1838489; 0.3058376; 5.2313249; 1.4859490
2.9968522; 7.6425329; 0.4299723; -0.1534994; 0.3018005; 5.2596233; 1.4631584
3.0967473; 7.6563226; 0.5289059; -0.1235470; 0.2979278; 5.2873398; 1.4403055
3.1966423; 7.6671623; 0.6282087; -0.0939681; 0.2942845; 5.3144822; 1.4152066
3.2965374; 7.6750781; 0.7277851; -0.0647458; 0.2908238; 5.3410173; 1.3892125
3.3964325; 7.6800980; 0.8275512; -0.0358574; 0.2875347; 5.3669374; 1.3625004
3.4963276; 7.6822505; 0.9274185; -0.0072967; 0.2843212; 5.3922380; 1.3379083
3.5962226; 7.6815659; 1.0273085; 0.0209541; 0.2813147; 5.4169670; 1.3109763
3.6961177; 7.6780747; 1.1271386; 0.0489139; 0.2785106; 5.4410892; 1.2818104
3.7960128; 7.6718076; 1.2268340; 0.0765982; 0.2756103; 5.4645718; 1.2600050
3.8959079; 7.6627985; 1.3263182; 0.1039728; 0.2724917; 5.4875570; 1.2489535
3.9958029; 7.6510852; 1.4255184; 0.1310446; 0.2695481; 5.5102459; 1.2349352
4.0956980; 7.6367051; 1.5243687; 0.1578280; 0.2667055; 5.5325887; 1.2204844
4.1955931; 7.6196969; 1.6227982; 0.1843504; 0.2647066; 5.5545818; 1.1805285
4.2954882; 7.6000911; 1.7207474; 0.2107350; 0.2635621; 5.5757723; 1.1160843
4.3953832; 7.5779144; 1.8181421; 0.2370200; 0.2628998; 5.5957322; 1.0412068
4.4952783; 7.5531861; 1.9149265; 0.2632701; 0.2626658; 5.6142891; 0.9582363
4.5951734; 7.5259290; 2.0110211; 0.2895122; 0.2629711; 5.6313132; 0.8636728
4.6950684; 7.4961542; 2.1063761; 0.3158196; 0.2637298; 5.6466133; 0.7611865
4.7949635; 7.4638814; 2.2009026; 0.3422139; 0.2649035; 5.6600635; 0.6526169
4.8948586; 7.4291137; 2.2945553; 0.3687532; 0.2664298; 5.6715699; 0.5405973
4.9947537; 7.3918711; 2.3872366; 0.3954513; 0.2682125; 5.6810837; 0.4288513
5.0946487; 7.3521522; 2.4789018; 0.4223477; 0.2702686; 5.6886195; 0.3168326
